"Tableau n°01 : Evolution des montants moyens des loyers et des indices des montants moyens des loyers selon l'agglomération, le type d'habitat et l'envergure au niveau de la région de Daraa Tafilalet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agglomération,Type d'habitat,Envergure,Montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,,,Indices des montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,
,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Errachidia,Villa,PT,"2,482","2,504","2,502","2,499","2,497","2,494","2,492","2,489","2,486","2,483","2,480","2,477","2,495","2,559","2,625","2,641","2,751","2,855","2,945","2,752","2,818","2,872",,100.0,100.9,100.8,100.7,100.6,100.5,100.4,100.3,100.2,100.0,99.9,99.8,100.5,103.1,105.8,106.4,110.9,115.0,118.7,110.9,113.6,115.7
,,MT,"3,042","3,086","3,134","3,151","3,199","3,216","3,265","3,314","3,363","3,413","3,464","3,515","3,614","3,716","3,821","3,900","4,025","4,138","4,275","4,042","4,129","4,176",,100.0,101.5,103.0,103.6,105.2,105.7,107.3,108.9,110.6,112.2,113.9,115.5,118.8,122.2,125.6,128.2,132.3,136.0,140.5,132.9,135.7,137.3
,,GT,"3,405","3,481","3,595","3,710","3,827","3,945","4,064","4,185","4,308","4,432","4,558","4,685","4,844","5,007","5,173","5,343","5,528","5,670","5,850","5,509","5,636","5,695",,100.0,102.2,105.6,108.9,112.4,115.8,119.3,122.9,126.5,130.1,133.8,137.6,142.3,147.0,151.9,156.9,162.3,166.5,171.8,161.8,165.5,167.2
,,VIL,"3,099","3,153","3,219","3,273","3,341","3,396","3,465","3,535","3,606","3,677","3,750","3,823","3,934","4,054","3,766","3,846","3,979","4,095","4,228","3,985","4,074","4,125",,100.0,101.7,103.7,105.3,107.4,109.0,111.1,113.2,115.4,117.5,119.7,122.0,125.4,129.2,125.4,128.0,132.4,136.4,140.8,132.7,135.6,137.4
,Appartement standing,PT,"1,039","1,055","1,060","1,065","1,071","1,076","1,082","1,087","1,092","1,098","1,103","1,109","1,135","1,177","1,219","1,250","1,340","1,393","1,410","1,355","1,405","1,437",,100.0,101.5,102.0,102.5,103.0,103.6,104.1,104.6,105.1,105.6,106.2,106.7,109.3,113.2,117.3,120.3,128.9,134.0,135.7,130.4,135.2,138.3
,,MT,"1,328","1,359","1,371","1,382","1,394","1,405","1,417","1,429","1,441","1,453","1,464","1,476","1,521","1,567","1,615","1,663","1,691","1,752","1,815","1,765","1,848","1,903",,100.0,102.3,103.2,104.1,104.9,105.8,106.7,107.6,108.5,109.4,110.3,111.2,114.5,118.0,121.6,125.2,127.3,131.9,136.7,132.9,139.2,143.3
,,GT,"1,590","1,604","1,628","1,653","1,677","1,702","1,726","1,751","1,775","1,800","1,825","1,850","1,885","1,921","1,958","1,995","2,056","2,121","2,161","2,130","2,210","2,253",,100.0,100.9,102.4,103.9,105.5,107.0,108.5,110.1,111.6,113.2,114.7,116.3,118.5,120.8,123.1,125.4,129.3,133.3,135.9,133.9,139.0,141.7
,,APS,"1,348","1,374","1,388","1,401","1,414","1,428","1,441","1,454","1,468","1,482","1,495","1,509","1,550","1,594","1,586","1,631","1,672","1,732","1,785","1,736","1,814","1,865",,100.0,102.0,102.9,103.9,104.8,105.8,106.8,107.7,108.7,109.7,110.7,111.7,114.8,118.0,121.1,124.5,127.8,132.4,136.4,132.6,138.5,142.4
,Appartement économique,PT,620,633,639,646,652,659,666,672,679,686,693,700,735,771,810,850,908,958,"1,000",956,977,"1,011",,100.0,102.0,103.1,104.1,105.2,106.2,107.3,108.4,109.5,110.6,111.8,112.9,118.5,124.4,130.6,137.1,146.4,154.4,161.3,154.2,157.6,163.0
,,MT,791,809,812,816,819,823,826,830,833,837,840,844,881,919,958,"1,000","1,075","1,145","1,215","1,173","1,216","1,242",,100.0,102.3,102.7,103.2,103.6,104.1,104.5,105.0,105.4,105.8,106.3,106.7,111.4,116.2,121.2,126.5,136.0,144.8,153.7,148.4,153.7,157.0
,,GT,"1,200","1,209","1,215","1,222","1,229","1,236","1,243","1,250","1,257","1,264","1,271","1,278","1,291","1,304","1,317","1,330","1,424","1,518","1,625","1,584","1,622","1,646",,100.0,100.7,101.3,101.8,102.4,103.0,103.6,104.1,104.7,105.3,105.9,106.5,107.6,108.7,109.7,110.8,118.7,126.5,135.4,132.0,135.1,137.2
,,APE,895,909,914,919,924,929,934,939,944,950,955,960,989,"1,019",978,"1,014","1,088","1,156","1,225","1,183","1,219","1,247",,100.0,101.8,102.3,102.9,103.5,104.0,104.6,105.2,105.8,106.4,107.0,107.6,111.2,115.0,121.8,126.7,135.9,144.4,152.7,147.2,151.7,155.4
,Maison sur lot économique,PT,696,706,711,715,719,723,728,732,736,741,745,750,761,786,812,823,855,880,925,860,891,903,,100.0,101.6,102.2,102.8,103.4,104.0,104.6,105.2,105.9,106.5,107.1,107.8,109.4,113.0,116.8,118.2,122.9,126.5,133.0,123.6,128.1,129.9
,,MT,905,925,930,935,941,946,951,957,962,967,973,978,997,"1,016","1,036","1,050","1,073","1,095","1,142","1,098","1,132","1,168",,100.0,102.2,102.7,103.3,103.9,104.5,105.1,105.7,106.3,106.9,107.5,108.1,110.1,112.3,114.4,116.0,118.5,120.9,126.2,121.3,125.0,129.0
,,GT,"1,122","1,137","1,146","1,154","1,162","1,171","1,179","1,188","1,196","1,205","1,214","1,223","1,239","1,256","1,297","1,331","1,387","1,436","1,474","1,434","1,477","1,496",,100.0,101.4,102.1,102.8,103.6,104.3,105.1,105.9,106.6,107.4,108.2,109.0,110.5,112.0,115.6,118.6,123.6,128.0,131.3,127.8,131.6,133.4
,,MLE,943,960,966,972,978,984,990,997,"1,003","1,009","1,015","1,022","1,039","1,058","1,029","1,046","1,077","1,105","1,150","1,101","1,136","1,164",,100.0,101.8,102.4,103.1,103.7,104.4,105.0,105.7,106.3,107.0,107.6,108.3,110.1,112.3,115.2,117.0,120.5,123.6,128.8,123.1,127.0,130.0
,Total ville,,"1,040","1,057","1,066","1,074","1,083","1,091","1,100","1,110","1,119","1,128","1,137","1,147","1,174","1,204","1,120","1,140","1,178","1,212","1,262","1,207","1,245","1,273",,100.0,101.8,102.5,103.1,103.8,104.5,105.2,105.9,106.6,107.3,108.0,108.7,111.5,114.6,116.1,118.2,122.1,125.6,131.0,125.2,129.2,132.3
Ouarzazate,Villa,PT,"2,658","2,681","2,679","2,676","2,674","2,671","2,668","2,665","2,662","2,659","2,656","2,652","2,672","2,741","2,811","2,875","2,965","3,017","3,175","3,058","3,135","3,171",,100.0,100.9,100.8,100.7,100.6,100.5,100.4,100.3,100.2,100.0,99.9,99.8,100.5,103.1,105.8,108.2,111.6,113.5,119.5,115.1,118.0,119.3
,,MT,"3,531","3,583","3,638","3,658","3,714","3,733","3,790","3,846","3,904","3,962","4,020","4,080","4,195","4,314","4,435","4,500","4,575","4,635","4,890","4,573","4,653","4,703",,100.0,101.5,103.0,103.6,105.2,105.7,107.3,108.9,110.6,112.2,113.9,115.5,118.8,122.2,125.6,127.4,129.6,131.3,138.5,129.5,131.8,133.2
,,GT,"4,497","4,597","4,747","4,899","5,053","5,209","5,367","5,527","5,689","5,853","6,019","6,187","6,397","6,612","6,832","7,000","7,225","7,365","7,700","7,575","7,608","7,675",,100.0,102.2,105.6,108.9,112.4,115.8,119.3,122.9,126.5,130.1,133.8,137.6,142.3,147.0,151.9,155.7,160.7,163.8,171.2,168.4,169.2,170.7
,,VIL,"3,701","3,765","3,842","3,904","3,983","4,047","4,127","4,209","4,291","4,375","4,459","4,545","4,675","4,818","4,322","4,404","4,509","4,579","4,817","4,596","4,666","4,715",,100.0,101.6,103.5,104.9,106.8,108.3,110.2,112.2,114.2,116.2,118.2,120.2,123.5,127.2,123.7,126.1,129.1,131.1,137.9,131.5,133.7,135.1
