"Tableau n°01 : Evolution des montants moyens des loyers et des indices des montants moyens des loyers selon l'agglomération, le type d'habitat et l'envergure au niveau de la région d'Eddakhla Oued Eddahab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agglomération,Type d'habitat,Envergure,Montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,,,Indices des montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,
,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Eddakhla Oued Eddahab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Villa,PT,"4,050","4,100","4,100","3,900","3,531","3,645","3,718","3,819","3,908","4,003","4,097","4,192","4,287","4,381","4,280","4,387","4,565","4,700","4,394","4,123","4,950","5,325",0,100.0,101.2,101.2,96.3,87.2,90.0,91.8,94.3,96.5,98.8,101.2,103.5,105.9,108.2,105.7,108.3,112.7,116.0,108.5,101.8,122.2,131.5
,,MT,"4,850","4,900","4,883","4,883","4,639","4,883","4,920","4,998","5,017","5,165","5,312","5,460","5,608","5,756","5,623","5,763","6,208","6,500","7,205","6,574","7,843","8,165",0,100.0,101.0,100.7,100.7,95.6,100.7,101.4,103.1,103.4,106.5,109.5,112.6,115.6,118.7,115.9,118.8,128.0,134.0,148.6,135.5,161.7,168.4
,,GT,"6,516","6,842","6,431","5,917","6,199","6,433","6,941","6,984","7,019","7,152","7,287","7,421","7,555","7,690","7,593","7,783","7,900","8,400","9,300","8,452","17,947","21,201",0,100.0,105.0,98.7,90.8,95.1,98.7,106.5,107.2,107.7,109.8,111.8,113.9,115.9,118.0,116.5,119.4,121.2,128.9,142.7,129.7,275.4,325.4
,,VIL,"5,182","5,300","5,187","5,041","4,914","5,143","5,299","5,371","5,401","5,540","5,679","5,818","5,958","6,097","5,948","6,096","6,395","6,718","7,291","6,383","10,247","11,564",0,100.0,102.0,100.2,97.8,94.7,99.1,101.7,103.2,103.8,106.5,109.3,112.0,114.7,117.5,114.2,117.0,123.1,129.1,139.3,127.5,187.6,207.4
,Appartement standing,PT,"1,659","1,560","1,451","1,364","1,363","1,470","1,562","1,646","1,728","1,766","1,805","1,843","1,882","1,908","1,786","1,755","1,875","1,989","1,916","1,796","1,982","2,067",0,100.0,94.0,87.5,82.2,82.2,88.6,94.1,99.2,104.1,106.4,108.8,111.1,113.4,115.0,107.7,105.8,113.0,119.9,115.5,108.3,119.5,124.6
,,MT,"1,953","1,836","1,707","1,605","1,585","1,712","1,838","1,941","2,020","2,068","2,116","2,163","2,211","2,259","2,100","2,064","2,266","2,390","2,711","2,205","2,523","2,603",0,100.0,94.0,87.4,82.2,81.2,87.7,94.1,99.4,103.4,105.9,108.3,110.8,113.2,115.7,107.5,105.7,116.0,122.4,138.8,112.9,129.2,133.3
,,GT,"2,721","2,558","2,378","2,336","2,445","2,546","2,560","2,663","2,729","2,805","2,882","2,958","3,035","3,124","2,893","2,843","2,806","2,990","3,269","2,958","3,195","3,314",0,100.0,94.0,87.4,85.9,89.9,93.6,94.1,97.9,100.3,103.1,105.9,108.7,111.5,114.8,106.3,104.5,103.1,109.9,120.1,108.7,117.4,121.8
,,APS,"2,101","1,976","1,837","1,752","1,766","1,884","1,977","2,078","2,154","2,208","2,262","2,315","2,368","2,424","2,154","2,117","2,259","2,390","2,606","2,320","2,567","2,661",0,100.0,94.0,87.4,83.1,83.4,89.2,94.1,99.0,102.7,105.3,107.8,110.3,112.8,115.4,107.4,105.5,113.1,119.7,129.9,111.1,124.8,129.2
,Appartement économique,PT,888,950,962,914,934,"1,000","1,072","1,122","1,197","1,219","1,242","1,265","1,287","1,310","1,214","1,242","1,365","1,401","1,587","1,327","1,423","1,678",0,100.0,107.0,108.3,102.9,105.2,112.6,120.7,126.4,134.7,137.3,139.9,142.5,144.9,147.5,136.7,139.9,153.7,157.8,178.7,149.4,160.2,188.9
,,MT,"1,451","1,404","1,326","1,398","1,407","1,500","1,600","1,641","1,691","1,728","1,766","1,804","1,842","1,860","1,750","1,789","1,880","1,845","2,026","1,966","2,231","2,343",0,100.0,96.8,91.4,96.3,97.0,103.4,110.3,113.1,116.5,119.1,121.7,124.3,126.9,128.2,120.6,123.3,129.6,127.2,139.6,135.5,153.8,161.5
,,GT,"1,885","1,875","1,918","2,056","2,132","2,177","2,254","2,292","2,344","2,402","2,460","2,518","2,576","2,654","2,452","2,507","2,398","2,496","2,564","2,348","2,647","2,710",0,100.0,99.5,101.7,109.1,113.1,115.5,119.6,121.6,124.3,127.4,130.5,133.6,136.7,140.8,130.1,133.0,127.2,132.4,136.0,124.5,140.4,143.8
,,APE,"1,269","1,261","1,218","1,251","1,266","1,348","1,437","1,481","1,540","1,573","1,606","1,640","1,673","1,694","1,668","1,705","1,780","1,786","1,954","1,880","2,100","2,244",0,100.0,100.4,97.6,99.1,100.4,107.0,114.2,118.0,123.1,125.7,128.3,131.0,133.6,135.4,127.2,130.1,137.3,138.0,152.1,138.6,154.1,168.2
,Maison sur lot économique,PT,900,950,944,992,933,974,965,"1,009","1,062","1,057","1,054","1,050","1,047","1,053",979,973,"1,023","1,084","1,207","1,150","1,275","1,309",0,100.0,105.6,104.9,110.2,103.7,108.2,107.2,112.1,117.9,117.4,117.1,116.7,116.3,117.0,108.8,108.1,113.7,120.4,134.1,127.8,141.7,145.4
,,MT,"1,100","1,117","1,155","1,207","1,289","1,409","1,505","1,562","1,630","1,634","1,638","1,642","1,646","1,650","1,549","1,539","1,627","1,710","1,912","1,685","1,795","1,854",0,100.0,101.5,105.0,109.7,117.2,128.1,136.8,142.0,148.1,148.5,148.9,149.3,149.6,150.0,140.8,139.9,147.9,155.5,173.8,153.1,163.2,168.5
,,GT,"1,950","1,975","1,898","1,778","1,800","1,853","1,999","2,056","2,133","2,150","2,167","2,183","2,200","2,207","2,049","2,036","2,181","2,271","2,480","2,596","2,810","2,892",0,100.0,101.3,97.3,91.2,92.3,95.0,102.5,105.4,109.4,110.3,111.1,111.9,112.8,113.2,105.1,104.4,111.8,116.5,127.2,133.1,144.1,148.3
,,MLE,"1,059","1,087","1,106","1,151","1,182","1,272","1,332","1,385","1,448","1,450","1,452","1,453","1,455","1,460","1,412","1,403","1,485","1,561","1,737","1,810","1,960","2,018",0,100.0,102.9,104.7,109.3,111.6,120.0,125.3,130.3,136.3,136.4,136.5,136.6,136.8,137.2,125.0,124.2,131.3,138.2,153.9,141.7,153.2,157.8
,Total ville,,"1,244","1,253","1,237","1,270","1,291","1,379","1,456","1,506","1,566","1,586","1,607","1,627","1,647","1,663","1,511","1,508","1,593","1,664","1,843","1,773","2,278","2,496",0,100.0,101.5,100.9,103.6,105.4,112.8,118.9,123.3,128.8,130.2,131.6,133.0,134.4,135.6,124.5,124.2,131.3,137.3,152.6,139.9,152.4,158.5
Aoussred,Villa,PT,"2,906","2,941","2,941","2,798","2,533","2,615","2,667","2,739","2,804","2,872","2,939","3,007","3,076","3,143","3,071","3,147","3,275","3,492","3,550",,,,0,100.0,101.2,101.2,96.3,87.2,90.0,91.8,94.3,96.5,98.8,101.2,103.5,105.9,108.2,105.7,108.3,112.7,120.2,122.2,0.0,0.0,0.0
,,MT,"3,629","3,666","3,654","3,654","3,471","3,654","3,681","3,740","3,753","3,865","3,975","4,085","4,196","4,307","4,207","4,312","4,645","4,555","4,650",,,,0,100.0,101.0,100.7,100.7,95.6,100.7,101.4,103.1,103.4,106.5,109.5,112.6,115.6,118.7,115.9,118.8,128.0,125.5,128.1,0.0,0.0,0.0
,,GT,"5,238","5,500","5,169","4,756","4,983","5,171","5,579","5,614","5,641","5,749","5,857","5,965","6,073","6,181","6,103","6,256","6,350","6,395","6,200",,,,0,100.0,105.0,98.7,90.8,95.1,98.7,106.5,107.2,107.7,109.8,111.8,113.9,115.9,118.0,116.5,119.4,121.2,122.1,118.4,0.0,0.0,0.0
,,VIL,"3,954","4,047","3,957","3,841","3,751","3,925","4,049","4,103","4,125","4,231","4,337","4,442","4,548","4,654","4,549","4,663","4,887","4,894","4,897",,,,0,100.0,102.0,100.2,97.8,94.7,99.1,101.7,103.2,103.8,106.5,109.3,112.0,114.7,117.5,114.2,117.0,123.1,123.5,124.2,0.0,0.0,0.0
,Appartement standing,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,GT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,APS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
