"Tableau n°01 : Evolution des montants moyens des loyers et des indices des montants moyens des loyers selon l'agglomération, le type d'habitat et l'envergure au niveau de la région de Guelmim Oued Noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agglomération,Type d'habitat,Envergure,Montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,,,Indices des montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,
,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Guelmim,Villa,PT,"3,777","3,754","3,927","3,864","3,798","3,747","3,645","3,786","3,975","4,095","4,191","4,287","4,348","4,556","4,791","4,799","4,815","4,878","4,925","4,710","4,797","4,861",,100.0,99.4,104.0,102.3,100.6,99.2,96.5,100.2,105.2,108.4,111.0,113.5,115.1,120.6,126.9,127.1,127.5,129.1,130.4,124.7,127.0,128.7
,,MT,"6,498","6,459","6,297","6,149","6,034","5,908","5,868","6,027","6,321","6,295","6,363","6,423","6,454","6,728","6,682","6,700","6,740","6,795","6,855","6,660","6,907","7,133",,100.0,99.4,96.9,94.6,92.9,90.9,90.3,92.7,97.3,96.9,97.9,98.8,99.3,103.5,102.8,103.1,103.7,104.6,105.5,102.5,106.3,109.8
,,GT,"7,848","7,801","8,161","7,991","7,651","7,294","7,428","7,472","7,906","7,991","8,086","8,139","8,190","8,161","8,375","8,390","8,411","8,470","8,518","8,397","8,475","8,530",,100.0,99.4,104.0,101.8,97.5,92.9,94.6,95.2,100.7,101.8,103.0,103.7,104.4,104.0,106.7,106.9,107.2,107.9,108.5,107.0,108.0,108.7
,,VIL,"6,563","6,523","6,523","6,378","6,212","6,037","6,034","6,162","6,481","6,497","6,574","6,635","6,675","6,868","6,574","6,588","6,616","6,674","6,728","6,546","6,704","6,841",,100.0,99.4,99.3,97.2,94.8,92.2,92.0,94.1,98.9,99.2,100.5,101.5,102.1,105.3,110.7,110.9,111.4,112.4,113.3,110.0,112.6,114.9
,Appartement standing,PT,"1,154","1,147","1,200","1,200","1,149","1,122","1,166","1,182","1,222","1,234","1,260","1,293","1,315","1,350","1,425","1,450","1,465","1,495","1,530","1,495","1,545","1,611",,100.0,99.4,104.0,104.0,99.6,97.2,101.0,102.4,105.9,106.9,109.2,112.0,113.9,117.0,123.5,125.6,126.9,129.5,132.6,129.5,133.9,139.6
,,MT,"2,141","2,126","2,057","1,976","2,036","2,080","2,010","1,977","1,945","2,019","2,001","2,017","2,041","2,057","2,105","2,135","2,146","2,200","2,255","2,150","2,179","2,246",,100.0,99.3,96.1,92.3,95.1,97.2,93.9,92.3,90.9,94.3,93.5,94.2,95.3,96.1,98.3,99.7,100.3,102.8,105.3,100.4,101.8,104.9
,,GT,"2,576","2,557","2,451","2,374","2,305","2,261","2,282","2,287","2,252","2,263","2,272","2,304","2,332","2,381","2,395","2,423","2,423","2,471","2,484","2,388","2,441","2,463",,100.0,99.3,95.1,92.1,89.5,87.8,88.6,88.8,87.4,87.8,88.2,89.4,90.5,92.4,93.0,94.0,94.0,95.9,96.4,92.7,94.7,95.6
,,APS,"1,963","1,950","1,905","1,844","1,858","1,872","1,843","1,827","1,813","1,863","1,859","1,881","1,906","1,932","1,964","1,992","2,002","2,048","2,088","2,006","2,046","2,103",,100.0,99.3,97.9,95.1,95.4,95.8,94.9,94.3,94.0,96.5,96.5,97.9,99.2,100.7,104.6,106.2,106.8,109.3,111.5,107.4,109.8,113.2
,Appartement économique,PT,617,649,701,750,779,800,751,786,822,839,836,859,876,950,"1,000","1,000","1,050","1,075","1,125","1,092","1,102","1,115",,100.0,105.2,113.6,121.6,126.3,129.7,121.8,127.4,133.3,135.9,135.4,139.2,142.0,154.0,162.1,162.1,170.2,174.2,182.3,177.0,178.6,180.7
