"Tableau n°01 : Evolution des montants moyens des loyers et des indices des montants moyens des loyers selon l'agglomération, le type d'habitat et l'envergure au niveau de la région de Laayoune Sakia Al Hamra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agglomération,Type d'habitat,Envergure,Montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,,,Indices des montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,
,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Laâyoune,Villa,PT,"5,012","5,381","5,600","5,689","5,883","6,133","6,276","6,435","6,564","6,744","7,077","6,895","7,091","7,204","7,239","7,238","7,209","7,259","7,300","7,255","7,360","7,420",,100.0,107.4,111.7,113.5,117.4,122.4,125.2,128.4,131.0,134.5,141.2,137.6,141.5,143.7,144.4,144.4,143.8,144.8,145.6,144.7,146.8,148.0
,,MT,"7,296","7,507","7,718","7,929","8,239","8,450","8,661","8,872","9,083","9,294","9,503","9,050","9,264","9,368","9,558","9,693","9,698","9,769","9,839","9,641","9,763","9,897",,100.0,102.9,105.8,108.7,112.9,115.8,118.7,121.6,124.5,127.4,130.2,124.0,127.0,128.4,131.0,132.8,132.9,133.9,134.9,132.1,133.8,135.6
,,GT,"10,600","10,750","11,281","11,564","11,836","11,839","11,900","12,000","12,300","12,565","12,766","12,266","12,475","12,875","12,856","12,844","12,998","13,061","13,173","13,175","13,309","13,453",,100.0,101.4,106.4,109.1,111.7,111.7,112.3,113.2,116.0,118.5,120.4,115.7,117.7,121.5,121.3,121.2,122.6,123.2,124.3,124.3,125.6,126.9
,,VIL,"8,055","8,263","8,568","8,789","9,078","9,231","9,392","9,565","9,795","10,019","10,237","9,795","10,006","10,198","9,836","9,914","9,945","10,010","10,084","9,957","10,079","10,201",,100.0,102.9,106.5,109.2,113.0,115.2,117.4,119.8,122.6,125.4,128.4,122.8,125.6,127.8,131.4,132.5,132.7,133.6,134.6,132.8,134.5,136.1
,Appartement standing,PT,"1,113","1,150","1,156","1,198","1,200","1,200","1,290","1,330","1,410","1,522","1,663","1,668","1,684","1,714","1,762","1,828","1,873","1,908","2,003","2,010","2,072","2,159",,100.0,103.3,103.9,107.6,107.8,107.8,115.9,119.5,126.7,136.7,149.4,149.9,151.3,154.0,158.3,164.2,168.3,171.4,179.9,180.6,186.2,194.0
,,MT,"1,569","1,595","1,660","1,694","1,780","1,820","1,915","2,013","2,120","2,265","2,390","2,403","2,413","2,470","2,517","2,570","2,628","2,654","2,692","2,695","2,720","2,803",,100.0,101.6,105.8,108.0,113.4,116.0,122.1,128.3,135.1,144.4,152.3,153.1,153.8,157.4,160.4,163.8,167.5,169.2,171.6,171.8,173.4,178.7
,,GT,"2,205","2,238","2,325","2,374","2,433","2,492","2,551","2,610","2,704","2,828","2,887","2,929","2,993","3,047","3,082","3,115","3,134","3,167","3,239","3,241","3,334","3,457",,100.0,101.5,105.4,107.7,110.3,113.0,115.7,118.4,122.6,128.2,130.9,132.8,135.7,138.2,139.8,141.3,142.1,143.6,146.9,147.0,151.2,156.8
,,APS,"1,528","1,556","1,611","1,648","1,715","1,748","1,839","1,922","2,023","2,159","2,282","2,296","2,312","2,363","2,396","2,450","2,498","2,528","2,587","2,591","2,636","2,727",,100.0,102.0,105.4,107.9,112.0,114.1,120.3,125.7,132.4,141.5,150.0,150.8,151.8,155.1,156.6,160.4,163.8,165.8,170.0,170.4,173.5,179.5
,Appartement économique,PT,638,670,732,802,837,850,917,972,"1,045","1,110","1,160","1,164","1,205","1,245","1,279","1,303","1,327","1,339","1,375","1,374","1,399","1,469",,100.0,105.0,114.8,125.7,131.1,133.2,143.7,152.4,163.7,173.9,181.8,182.4,188.9,195.2,200.4,204.3,208.0,209.8,215.6,215.4,219.3,230.3
