"Tableau n°01 : Evolution des montants moyens des loyers et des indices des montants moyens des loyers selon l'agglomération, le type d'habitat et l'envergure au niveau de la région de Marrakech Safi ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agglomération,Type d'habitat,Envergure,Montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,,,Indices des montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,
,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Marrakech,Villa,PT,"3,429","3,650","3,753","4,077","4,786","5,771","6,370","6,704","6,957","6,915","7,171","7,051","7,116","7,168","7,360","7,365","7,358","7,247","7,337","7,277","7,377","7,591",,100.0,106.4,109.4,118.9,139.6,168.3,185.8,195.5,202.9,201.6,209.1,205.6,207.5,209.0,214.6,214.8,214.6,211.3,214.0,212.2,215.1,221.4
,,MT,"5,373","6,050","6,477","6,720","6,922","7,489","8,405","8,749","9,063","9,132","9,286","9,878","10,095","10,274","10,521","10,572","10,566","10,722","10,818","10,568","10,815","11,206",,100.0,112.6,120.5,125.1,128.8,139.4,156.4,162.8,168.7,170.0,172.8,183.8,187.9,191.2,195.8,196.8,196.6,199.5,201.3,196.7,201.3,208.6
,,GT,"7,811","7,967","8,317","9,658","10,535","11,905","13,955","15,432","16,418","16,249","17,028","16,400","16,085","16,317","16,434","16,546","16,641","16,821","16,928","16,644","16,950","17,456",,100.0,102.0,106.5,123.6,134.9,152.4,178.7,197.6,210.2,208.0,218.0,210.0,205.9,208.9,210.4,211.8,213.0,215.4,216.7,213.1,217.0,223.5
,,VIL,"5,834","6,179","6,488","7,195","7,805","8,808","10,096","10,893","11,462","11,405","11,838","11,748","11,710","11,876","11,023","11,076","11,092","11,186","11,283","11,073","11,296","11,668",,100.0,106.7,111.9,122.8,134.1,152.4,173.2,185.6,194.6,193.8,200.8,200.2,200.4,203.1,203.7,204.6,204.8,206.0,207.9,204.2,208.2,215.1
,Appartement standing,PT,"1,770","1,845","1,925","2,004","2,076","2,173","2,251","2,392","2,605","2,726","2,792","2,769","2,825","2,894","2,997","3,067","3,106","3,189","3,286","3,268","3,374","3,541",,100.0,104.2,108.7,113.2,117.3,122.8,127.2,135.1,147.2,154.0,157.7,156.4,159.6,163.5,169.3,173.2,175.5,180.2,185.6,184.6,190.6,200.0
,,MT,"2,418","2,689","2,885","3,082","3,228","3,342","3,574","3,741","3,929","4,365","4,562","4,422","4,416","4,583","4,750","4,831","4,858","4,931","5,013","4,861","5,037","5,268",,100.0,111.2,119.3,127.5,133.5,138.2,147.8,154.7,162.5,180.5,188.7,182.9,182.6,189.5,196.4,199.8,200.9,203.9,207.3,201.0,208.3,217.9
,,GT,"3,185","3,500","3,622","3,865","4,196","4,559","4,812","5,041","5,305","5,445","5,506","5,266","5,136","5,157","5,254","5,296","5,311","5,484","5,594","5,528","5,691","5,860",,100.0,109.9,113.7,121.3,131.7,143.1,151.1,158.3,166.6,170.9,172.9,165.3,161.3,161.9,164.9,166.3,166.8,172.2,175.6,173.6,178.7,184.0
,,APS,"2,486","2,733","2,890","3,077","3,254","3,425","3,634","3,812","4,023","4,332","4,473","4,329","4,305","4,419","4,489","4,559","4,586","4,684","4,776","4,672","4,830","5,033",,100.0,109.7,116.1,123.5,130.2,136.6,144.9,152.1,160.7,173.5,179.4,174.0,173.4,178.3,183.4,186.4,187.6,191.5,195.4,191.2,197.7,206.2
,Appartement économique,PT,"1,100","1,159","1,242","1,326","1,418","1,456","1,508","1,557","1,598","1,725","1,841","1,847","1,877","1,898","1,944","1,950","1,965","2,024","2,102","2,097","2,177","2,291",,100.0,105.4,112.9,120.5,128.9,132.4,137.0,141.5,145.2,156.8,167.3,167.9,170.6,172.5,176.7,177.3,178.6,184.0,191.1,190.6,197.9,208.3
