"Tableau n°01 : Evolution des montants moyens des loyers et des indices des montants moyens des loyers selon l'agglomération, le type d'habitat et l'envergure au niveau de la région de l'Oriental ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agglomération,Type d'habitat,Envergure,Montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,,,Indices des montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,
,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Oujda,Villa,PT,"2,500","2,550","2,550","2,495","2,327","2,327","2,457","2,658","2,720","2,906","2,938","2,969","2,983","2,995","3,069","3,026","3,086","3,155","3,206","3,187","3,232","3,312",,100.0,102.0,102.0,99.8,93.1,93.1,98.3,106.3,108.8,116.2,117.5,118.7,119.3,119.8,122.7,121.1,123.5,126.2,128.2,127.5,129.3,132.5
,,MT,"3,000","3,050","3,189","3,221","3,159","3,197","3,302","3,475","3,677","3,857","3,925","3,996","4,035","4,065","4,093","4,080","4,140","4,229","4,251","4,221","4,267","4,347",,100.0,101.7,106.3,107.4,105.3,106.6,110.1,115.8,122.6,128.6,130.8,133.2,134.5,135.5,136.4,136.0,138.0,141.0,141.7,140.7,142.2,144.9
,,GT,"5,000","5,250","5,100","4,800","4,886","4,938","5,075","5,230","5,753","6,344","6,510","6,653","6,723","6,743","6,789","6,992","7,152","7,253","7,238","7,174","7,248","7,285",,100.0,105.0,102.0,96.0,97.7,98.8,101.5,104.6,115.1,126.9,130.2,133.1,134.5,134.9,135.8,139.8,143.0,145.1,144.8,143.5,145.0,145.7
,,VIL,"2,868","2,928","2,986","2,959","2,855","2,875","2,994","3,179","3,332","3,536","3,592","3,648","3,677","3,698","3,960","3,957","4,028","4,110","4,139","4,111","4,159","4,234",,100.0,102.0,104.0,103.2,99.1,99.7,104.0,110.7,115.6,122.6,124.5,126.3,127.3,128.0,130.9,130.4,132.7,135.5,136.6,135.7,137.3,140.0
,Appartement standing,PT,"1,500","1,520","1,551","1,516","1,568","1,589","1,640","1,665","1,790","1,892","1,896","1,942","1,978","2,015","2,090","2,079","2,131","2,160","2,206","2,184","2,212","2,283",,100.0,101.3,103.4,101.1,104.5,105.9,109.3,111.0,119.3,126.1,126.4,129.4,131.8,134.3,139.3,138.6,142.0,144.0,147.1,145.6,147.4,152.2
,,MT,"1,725","1,788","1,895","1,933","1,888","1,855","1,910","1,939","1,968","2,152","2,203","2,247","2,271","2,285","2,435","2,494","2,548","2,581","2,656","2,609","2,650","2,724",,100.0,103.6,109.9,112.1,109.4,107.5,110.7,112.4,114.1,124.7,127.7,130.3,131.7,132.5,141.2,144.6,147.7,149.6,154.0,151.3,153.6,157.9
,,GT,"2,600","2,700","2,750","2,900","2,882","2,882","2,920","3,023","3,127","3,293","3,357","3,403","3,425","3,438","3,606","3,566","3,629","3,667","3,679","3,616","3,659","3,693",,100.0,103.8,105.8,111.5,110.8,110.8,112.3,116.3,120.3,126.7,129.1,130.9,131.7,132.2,138.7,137.1,139.6,141.0,141.5,139.1,140.7,142.0
,,APS,"1,731","1,785","1,868","1,896","1,877","1,861","1,914","1,947","2,006","2,168","2,208","2,252","2,279","2,299","2,450","2,478","2,532","2,564","2,624","2,583","2,620","2,689",,100.0,103.0,107.9,109.2,108.2,107.4,110.5,112.3,115.9,125.2,127.5,130.1,131.7,132.9,140.4,142.0,145.1,147.0,150.6,148.3,150.4,154.6
,Appartement économique,PT,928,938,935,930,989,996,"1,047","1,095","1,183","1,270","1,280","1,306","1,328","1,338","1,381","1,416","1,471","1,496","1,508","1,499","1,530","1,580",,100.0,101.0,100.8,100.2,106.5,107.3,112.8,118.0,127.5,136.9,137.9,140.7,143.0,144.1,148.8,152.6,158.5,161.2,162.4,161.5,164.9,170.3
,,MT,"1,061","1,149","1,200","1,309","1,391","1,419","1,480","1,530","1,615","1,670","1,708","1,738","1,763","1,775","1,882","1,884","1,941","1,961","1,997","1,986","2,039","2,096",,100.0,108.2,113.1,123.4,131.1,133.7,139.5,144.2,152.2,157.4,160.9,163.8,166.1,167.3,177.3,177.6,182.9,184.8,188.2,187.1,192.2,197.5
,,GT,"1,500","1,550","1,605","1,582","1,675","1,675","1,700","1,812","1,935","2,024","2,046","2,079","2,105","2,167","2,342","2,317","2,355","2,401","2,440","2,431","2,474","2,529",,100.0,103.3,107.0,105.5,111.7,111.7,113.3,120.8,129.0,134.9,136.4,138.6,140.3,144.4,156.1,154.4,157.0,160.1,162.6,162.0,164.9,168.6
,,APE,"1,150","1,216","1,260","1,318","1,400","1,417","1,468","1,533","1,628","1,696","1,726","1,756","1,781","1,805","1,878","1,881","1,934","1,961","1,992","1,982","2,029","2,084",,100.0,105.9,109.7,115.4,122.5,124.2,128.9,134.3,142.6,148.6,151.3,154.0,156.1,158.0,166.9,167.5,172.3,174.6,177.4,176.5,180.7,185.7
,Maison sur lot économique,PT,762,771,763,725,707,710,762,809,847,903,924,948,981,988,"1,013","1,025","1,076","1,105","1,130","1,125","1,158","1,206",,100.0,101.2,100.2,95.3,92.8,93.2,100.1,106.2,111.2,118.5,121.3,124.5,128.8,129.7,133.0,134.6,141.2,145.0,148.4,147.7,152.0,158.4
,,MT,884,888,925,979,"1,059","1,080","1,144","1,206","1,303","1,336","1,368","1,433","1,465","1,478","1,651","1,666","1,721","1,739","1,756","1,735","1,776","1,839",,100.0,100.5,104.6,110.7,119.8,122.2,129.4,136.4,147.3,151.1,154.7,162.0,165.7,167.1,186.8,188.4,194.7,196.7,198.6,196.3,200.9,208.0
,,GT,"1,260","1,310","1,325","1,363","1,419","1,458","1,550","1,628","1,671","1,710","1,718","1,729","1,743","1,749","1,955","2,011","2,066","2,104","2,158","2,155","2,197","2,219",,100.0,104.0,105.2,108.1,112.6,115.7,123.0,129.2,132.6,135.7,136.3,137.2,138.3,138.8,155.2,159.6,163.9,167.0,171.2,171.0,174.4,176.1
,,MLE,959,975,999,"1,035","1,094","1,117","1,186","1,250","1,324","1,362","1,386","1,431","1,459","1,469","1,562","1,584","1,638","1,662","1,688","1,674","1,714","1,766",,100.0,101.4,104.1,107.7,113.8,116.1,123.3,130.0,138.1,142.3,145.0,150.1,153.2,154.3,168.7,170.9,176.8,179.4,182.1,180.6,184.9,190.8
,Total ville,,"1,199","1,242","1,279","1,320","1,376","1,396","1,460","1,534","1,623","1,689","1,718","1,757","1,784","1,801","1,813","1,829","1,883","1,912","1,940","1,926","1,967","2,022",,100.0,103.5,106.7,110.9,116.6,118.5,124.3,130.4,138.3,143.5,146.2,149.9,152.4,153.8,165.3,166.9,172.4,174.9,177.5,176.1,180.2,185.7
Berkane,Villa,PT,"2,899","2,937","2,953","2,939","2,858","2,861","2,955","3,045","3,110","3,202","3,237","3,271","3,287","3,300","3,367","3,426","3,524","3,560","3,613","3,619","3,702","3,766",,100.0,101.3,101.9,101.4,98.6,98.7,101.9,105.0,107.3,110.4,111.7,112.8,113.4,113.8,116.1,118.2,121.5,122.8,124.6,124.8,127.7,129.9
,,MT,"3,635","3,680","3,802","3,848","3,849","3,895","4,004","4,153","4,250","4,385","4,462","4,543","4,587","4,621","4,653","4,690","4,786","4,819","4,853","4,840","4,938","5,051",,100.0,101.2,104.6,105.9,105.9,107.2,110.2,114.3,116.9,120.6,122.8,125.0,126.2,127.1,128.0,129.0,131.7,132.6,133.5,133.2,135.9,139.0
,,GT,"5,380","5,516","5,489","5,363","5,459","5,517","5,670","5,843","6,156","6,458","6,627","6,772","6,843","6,863","6,910","7,091","7,211","7,259","7,310","7,300","7,405","7,481",,100.0,102.5,102.0,99.7,101.5,102.5,105.4,108.6,114.4,120.0,123.2,125.9,127.2,127.6,128.4,131.8,134.0,134.9,135.9,135.7,137.6,139.0
,,VIL,"3,426","3,473","3,541","3,551","3,523","3,552","3,657","3,783","3,878","4,005","4,070","4,135","4,168","4,193","4,180","4,237","4,335","4,370","4,414","4,410","4,501","4,589",,100.0,101.4,103.3,103.6,102.5,103.3,106.4,110.0,112.7,116.3,118.1,119.9,120.8,121.5,122.5,124.1,127.1,128.1,129.5,129.4,132.1,134.7
,Appartement standing,PT,"1,293","1,311","1,337","1,338","1,379","1,394","1,436","1,468","1,547","1,607","1,611","1,650","1,676","1,704","1,759","1,783","1,848","1,880","1,930","1,917","1,967","2,033",,100.0,101.4,103.4,103.4,106.6,107.8,111.0,113.5,119.6,124.3,124.6,127.6,129.6,131.7,136.0,137.9,142.9,145.4,149.2,148.2,152.1,157.2
,,MT,"1,569","1,614","1,691","1,720","1,725","1,725","1,770","1,797","1,823","1,892","1,937","1,976","1,997","2,010","2,081","2,152","2,250","2,278","2,310","2,297","2,350","2,423",,100.0,102.9,107.7,109.6,109.9,109.9,112.8,114.5,116.2,120.6,123.4,125.9,127.3,128.1,132.6,137.2,143.4,145.1,147.2,146.4,149.8,154.4
