"Tableau n°01 : Evolution des montants moyens des loyers et des indices des montants moyens des loyers selon l'agglomération, le type d'habitat et l'envergure au niveau de la région de Tranger Tetouan Al Houceima",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agglomération,Type d'habitat,Envergure,Montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,,Indices des montants moyens des loyers,,,,,,,,,,,,,,,,,,,,,
,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Tanger,Villa,PT,"5,375","5,350","5,875","5,463","5,350","5,700","5,692","5,810","5,527","5,440","5,356","5,293","5,442","5,492","5,591","5,631","5,687","5,716","5,744","5,851","5,857","5,986",100.0,99.5,109.3,101.6,99.5,106.0,105.9,108.1,102.8,101.2,99.6,98.5,101.2,102.2,104.0,104.8,105.8,106.3,106.9,108.9,109.0,111.4
,,MT,"8,531","8,250","8,550","8,453","7,673","7,700","7,545","7,964","7,866","8,515","8,619","8,527","8,572","8,648","8,708","8,764","8,894","9,027","9,176","8,920","8,906","9,070",100.0,96.7,100.2,99.1,89.9,90.3,88.4,93.4,92.2,99.8,101.0,100.0,100.5,101.4,102.1,102.7,104.3,105.8,107.6,104.6,104.4,106.3
,,GT,"10,420","11,025","11,459","12,504","11,563","11,700","11,350","11,791","12,401","13,362","13,727","13,695","13,643","13,652","13,744","13,827","14,052","14,228","14,491","14,526","14,517","14,732",100.0,105.8,110.0,120.0,111.0,112.3,108.9,113.2,119.0,128.2,131.7,131.4,130.9,131.0,131.9,132.7,134.9,136.5,139.1,139.4,139.3,141.4
,,VIL,"7,143","7,034","7,448","7,266","6,793","6,980","6,883","7,161","7,015","7,333","7,363","7,289","7,377","7,437","7,381","7,430","7,527","7,608","7,700","7,657","7,654","7,802",100.0,98.6,105.1,101.5,95.7,99.0,97.9,101.5,98.8,102.1,102.1,101.0,102.6,103.4,105.1,105.8,107.1,108.1,109.3,109.2,109.2,111.3
,Appartement standing,PT,"2,161","2,298","2,520","2,417","2,378","2,419","2,491","2,425","2,323","2,429","2,567","2,600","2,692","2,772","2,858","2,951","3,053","3,119","3,200","3,081","3,244","3,351",100.0,106.3,116.6,111.8,110.1,111.9,115.2,112.2,107.5,112.4,118.8,120.3,124.6,128.3,132.2,136.6,141.3,144.3,148.1,142.6,150.1,155.1
,,MT,"2,955","2,878","3,102","3,124","3,319","3,538","3,670","3,759","3,442","3,503","3,693","3,812","3,797","3,939","4,018","4,107","4,225","4,307","4,382","4,205","4,364","4,502",100.0,97.4,105.0,105.7,112.3,119.7,124.2,127.2,116.5,118.5,125.0,129.0,128.5,133.3,136.0,139.0,143.0,145.8,148.3,142.3,147.7,152.4
,,GT,"3,488","3,820","4,200","4,600","4,955","4,829","5,010","5,231","5,240","5,406","5,593","5,724","5,460","5,485","5,636","5,702","5,819","5,882","5,979","5,667","5,932","6,057",100.0,109.5,120.4,131.9,142.1,138.4,143.6,150.0,150.2,155.0,160.4,164.1,156.5,157.2,161.6,163.5,166.8,168.6,171.4,162.5,170.1,173.7
,,APS,"3,047","3,057","3,312","3,408","3,631","3,777","3,918","4,031","3,783","3,866","4,055","4,174","4,111","4,228","4,192","4,278","4,395","4,473","4,551","4,358","4,533","4,667",100.0,100.0,108.3,111.1,118.3,123.3,127.9,131.5,123.1,125.8,132.0,135.9,134.1,138.0,139.6,142.5,146.5,149.1,151.8,145.4,151.2,155.7
,Appartement économique,PT,"1,093","1,200","1,280","1,372","1,461","1,500","1,544","1,608","1,722","1,840","1,850","1,889","1,965","1,994","2,047","2,067","2,089","2,117","2,136","2,158","2,196","2,284",100.0,109.8,117.1,125.5,133.6,137.2,141.3,147.1,157.5,168.4,169.3,172.8,179.7,182.4,187.3,189.1,191.1,193.6,195.4,197.4,200.9,209.0
,,MT,"1,384","1,513","1,635","1,789","1,966","2,150","2,336","2,423","2,252","2,409","2,468","2,577","2,686","2,759","2,851","2,915","2,957","2,990","3,008","2,892","2,981","3,069",100.0,109.3,118.1,129.3,142.1,155.3,168.8,175.1,162.7,174.1,178.3,186.2,194.1,199.4,206.0,210.6,213.7,216.0,217.4,209.0,215.4,221.7
,,GT,"1,947","2,050","2,250","2,450","2,675","2,800","2,959","3,043","3,230","3,367","3,358","3,410","3,534","3,588","3,678","3,668","3,674","3,707","3,702","3,723","3,768","3,877",100.0,105.3,115.6,125.8,137.4,143.8,152.0,156.3,165.9,172.9,172.5,175.2,181.5,184.3,188.9,188.4,188.7,190.4,190.1,191.2,193.5,199.1
,,APE,"1,518","1,636","1,777","1,937","2,116","2,263","2,421","2,504","2,482","2,628","2,659","2,741","2,850","2,911","2,853","2,893","2,924","2,955","2,970","2,909","2,979","3,071",100.0,108.1,117.2,127.7,139.5,149.4,159.9,165.5,163.0,173.0,175.3,181.0,188.3,192.4,198.8,201.8,204.1,206.4,207.5,203.1,208.1,214.7
,Maison sur lot économique,PT,"1,002","1,050","1,127","1,193","1,134","1,162","1,212","1,301","1,338","1,412","1,415","1,448","1,537","1,592","1,665","1,698","1,738","1,772","1,794","1,728","1,737","1,821",100.0,104.8,112.4,119.0,113.2,116.0,120.9,129.9,133.5,140.9,141.3,144.5,153.3,158.9,166.1,169.4,173.5,176.8,179.1,172.5,173.4,181.7
,,MT,"1,317","1,406","1,520","1,541","1,586","1,658","1,741","1,808","1,856","1,997","2,079","2,149","2,242","2,307","2,386","2,428","2,490","2,546","2,595","2,621","2,638","2,719",100.0,106.7,115.4,117.0,120.5,125.9,132.2,137.3,140.9,151.7,157.9,163.2,170.3,175.2,181.2,184.4,189.1,193.3,197.1,199.0,200.3,206.5
,,GT,"1,813","1,950","2,136","2,332","2,463","2,525","2,555","2,648","2,519","2,690","2,778","2,809","2,825","2,898","2,944","2,968","3,005","3,041","3,057","3,097","3,129","3,238",100.0,107.6,117.8,128.6,135.8,139.3,140.9,146.0,138.9,148.4,153.2,154.9,155.8,159.9,162.4,163.7,165.8,167.7,168.6,170.8,172.6,178.6
,,MLE,"1,427","1,525","1,656","1,737","1,795","1,858","1,921","1,998","1,990","2,132","2,205","2,258","2,327","2,393","2,362","2,398","2,450","2,497","2,534","2,544","2,563","2,650",100.0,106.7,115.7,120.8,124.2,128.7,133.4,139.0,139.3,149.2,154.2,158.1,163.5,168.3,174.0,176.8,180.8,184.3,187.2,187.4,188.7,195.3
,Total ville,,"2,106","2,183","2,357","2,454","2,550","2,667","2,769","2,867","2,805","2,951","3,024","3,090","3,155","3,227","3,127","3,173","3,231","3,281","3,320","3,271","3,330","3,431",100.0,105.6,114.4,120.6,127.2,133.8,140.4,145.5,143.1,151.4,155.3,159.5,164.2,168.3,172.1,174.9,178.2,181.0,183.2,180.8,184.0,189.9
Fahs Anjra,Villa,PT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,GT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,VIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Appartement standing,PT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,GT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
