Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Béni Mellal,Villa,PT,1.865,1.97,2.151,2.28,2.334,2.334,2.335,2.426,2.485,2.609,2.825,2.725,2.75,2.775,2.855,2.917,2.695,2.8,2.855,0.0,100.0,105.6,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Villa,MT,2.413,2.584,2.609,2.635,2.66,2.686,2.712,2.739,2.766,2.793,2.82,2.847,2.875,3.0,3.21,3.364,3.3,3.45,3.508,0.0,100.0,107.1,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Villa,GT,3.843,4.168,4.442,4.778,4.983,5.0,5.2,5.5,5.501,5.503,5.504,5.506,5.507,5.508,5.51,5.511,5.513,5.65,5.7,0.0,100.0,108.5,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Villa,VIL,2.625,2.817,2.943,3.071,3.147,3.165,3.227,3.337,3.366,3.411,3.48,3.469,3.489,3.559,3.406,3.515,3.416,3.552,3.608,0.0,100.0,107.0,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Appartement standing,PT,1.367,1.496,1.613,1.628,1.655,1.655,1.7,1.75,1.8,1.89,2.05,2.25,2.3,2.4,2.453,2.525,2.425,2.35,2.4,0.0,100.0,109.5,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Appartement standing,MT,1.756,1.67,1.792,1.9,2.0,2.0,1.95,2.0,2.08,2.18,2.325,2.475,2.4,2.6,2.675,2.76,2.703,2.775,2.805,0.0,100.0,95.1,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Appartement standing,GT,2.267,2.389,2.533,2.565,2.575,2.575,2.581,2.661,2.782,2.932,3.149,3.214,3.279,3.571,3.693,3.73,3.825,3.9,3.958,0.0,100.0,105.4,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Appartement standing,APS,1.709,1.657,1.778,1.872,1.961,1.961,1.925,1.975,2.052,2.151,2.299,2.455,2.399,2.587,2.71,2.79,2.736,2.781,2.817,0.0,100.0,97.3,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Appartement économique,PT,931.0,906.0,891.0,950.0,1.0,1.0,1.038,1.116,1.188,1.2,1.212,1.224,1.237,1.249,1.262,1.274,1.287,1.3,1.358,0.0,100.0,97.3,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Appartement économique,MT,1.201,1.221,1.278,1.351,1.368,1.37,1.42,1.45,1.5,1.508,1.516,1.525,1.533,1.541,1.55,1.558,1.566,1.575,1.65,0.0,100.0,101.6,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Appartement économique,GT,1.733,1.784,1.764,1.646,1.6,1.6,1.6,1.67,1.7,1.745,1.791,1.838,1.887,1.937,1.988,2.041,2.095,2.15,2.225,0.0,100.0,102.9,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Appartement économique,APE,1.277,1.298,1.331,1.364,1.372,1.373,1.412,1.456,1.504,1.52,1.536,1.553,1.57,1.587,1.55,1.568,1.585,1.603,1.674,0.0,100.0,101.4,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Maison sur lot économique,PT,898.0,935.0,999.0,946.0,878.0,893.0,920.0,980.0,980.0,1.006,1.033,1.061,1.089,1.118,1.148,1.179,1.21,1.25,1.323,0.0,100.0,104.1,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Maison sur lot économique,MT,1.165,1.212,1.307,1.333,1.265,1.227,1.228,1.257,1.29,1.313,1.336,1.359,1.383,1.407,1.432,1.457,1.483,1.5,1.605,0.0,100.0,104.0,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Maison sur lot économique,GT,1.532,1.624,1.658,1.75,1.7,1.7,1.724,1.74,1.78,1.785,1.79,1.795,1.8,1.805,1.81,1.815,1.82,1.875,2.033,0.0,100.0,106.0,,,,,,,,,,,,,,,,,,,,,,
Béni Mellal,Maison sur lot économique,MLE,1.208,1.263,1.342,1.372,1.308,1.284,1.292,1.322,1.353,1.372,1.392,1.412,1.433,1.454,1.421,1.445,1.469,1.497,1.603,0.0,100.0,104.4,,,,,,,,,,,,,,,,,,,,,,
Khouribga,Villa,PT,1.49,1.559,1.624,1.705,1.746,1.755,1.773,1.842,1.887,1.981,2.006,1.995,2.014,2.032,2.091,2.14,2.175,2.265,2.273,0.0,100.0,104.6,,,,,,,,,,,,,,,,,,,,,,
Khouribga,Villa,MT,2.275,2.388,2.436,2.508,2.532,2.557,2.582,2.659,2.711,2.792,2.819,2.847,2.875,2.999,3.149,3.187,3.225,3.26,3.3,0.0,100.0,105.0,,,,,,,,,,,,,,,,,,,,,,
Khouribga,Villa,GT,3.632,3.794,3.968,4.149,4.327,4.385,4.56,4.778,4.779,4.876,4.877,4.878,4.879,4.88,4.882,4.934,4.975,5.063,5.08,0.0,100.0,104.5,,,,,,,,,,,,,,,,,,,,,,
Khouribga,Villa,VIL,2.371,2.483,2.568,2.672,2.742,2.77,2.832,2.942,2.979,3.068,3.088,3.096,3.114,3.172,3.01,3.054,3.092,3.153,3.179,0.0,100.0,104.7,,,,,,,,,,,,,,,,,,,,,,
Khouribga,Appartement standing,PT,1.198,1.251,1.312,1.345,1.371,1.398,1.436,1.479,1.521,1.597,1.668,1.748,1.787,1.864,1.905,1.96,2.0,2.1,2.11,0.0,100.0,104.5,,,,,,,,,,,,,,,,,,,,,,
Khouribga,Appartement standing,MT,1.621,1.636,1.641,1.707,1.779,1.779,1.824,1.871,1.945,2.039,2.134,2.229,2.296,2.396,2.465,2.5,2.53,2.58,2.6,0.0,100.0,100.9,,,,,,,,,,,,,,,,,,,,,,
Khouribga,Appartement standing,GT,2.129,2.18,2.203,2.23,2.239,2.239,2.244,2.314,2.419,2.525,2.637,2.691,2.746,2.88,2.979,3.042,3.093,3.195,3.22,0.0,100.0,102.4,,,,,,,,,,,,,,,,,,,,,,
Khouribga,Appartement standing,APS,1.564,1.59,1.608,1.664,1.722,1.728,1.769,1.816,1.886,1.977,2.067,2.156,2.217,2.314,2.378,2.423,2.459,2.531,2.549,0.0,100.0,101.8,,,,,,,,,,,,,,,,,,,,,,
Khouribga,Appartement économique,PT,814.0,819.0,814.0,835.0,871.0,871.0,904.0,935.0,977.0,987.0,997.0,1.007,1.017,1.027,1.038,1.075,1.113,1.15,1.187,0.0,100.0,100.7,,,,,,,,,,,,,,,,,,,,,,
