Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Ouarzazate,Villa,PT,2.658,2.681,2.679,2.676,2.674,2.671,2.668,2.665,2.662,2.659,2.656,2.652,2.672,2.741,2.811,2.875,2.965,3.017,3.175,3.058,3.135,3.171,100.0,100.9,100.8,100.7,100.6,100.5,100.4,100.3,100.2,100.0,99.9,99.8,100.5,103.1,105.8,108.2,111.6,113.5,119.5,115.1,118.0,119.3
Ouarzazate,Villa,MT,3.531,3.583,3.638,3.658,3.714,3.733,3.79,3.846,3.904,3.962,4.02,4.08,4.195,4.314,4.435,4.5,4.575,4.635,4.89,4.573,4.653,4.703,100.0,101.5,103.0,103.6,105.2,105.7,107.3,108.9,110.6,112.2,113.9,115.5,118.8,122.2,125.6,127.4,129.6,131.3,138.5,129.5,131.8,133.2
Ouarzazate,Villa,GT,4.497,4.597,4.747,4.899,5.053,5.209,5.367,5.527,5.689,5.853,6.019,6.187,6.397,6.612,6.832,7.0,7.225,7.365,7.7,7.575,7.608,7.675,100.0,102.2,105.6,108.9,112.4,115.8,119.3,122.9,126.5,130.1,133.8,137.6,142.3,147.0,151.9,155.7,160.7,163.8,171.2,168.4,169.2,170.7
Ouarzazate,Villa,VIL,3.701,3.765,3.842,3.904,3.983,4.047,4.127,4.209,4.291,4.375,4.459,4.545,4.675,4.818,4.322,4.404,4.509,4.579,4.817,4.596,4.666,4.715,100.0,101.6,103.5,104.9,106.8,108.3,110.2,112.2,114.2,116.2,118.2,120.2,123.5,127.2,123.7,126.1,129.1,131.1,137.9,131.5,133.7,135.1
Ouarzazate,Appartement standing,PT,1.021,1.036,1.042,1.047,1.052,1.058,1.063,1.068,1.074,1.079,1.084,1.09,1.116,1.156,1.198,1.27,1.321,1.376,1.38,1.326,1.347,1.415,100.0,101.5,102.0,102.5,103.0,103.6,104.1,104.6,105.1,105.6,106.2,106.7,109.3,113.2,117.3,124.3,129.4,134.7,135.1,129.8,131.9,138.5
Ouarzazate,Appartement standing,MT,1.263,1.292,1.303,1.314,1.325,1.336,1.347,1.358,1.37,1.381,1.392,1.404,1.446,1.49,1.535,1.6,1.675,1.735,1.83,1.837,1.898,1.943,100.0,102.3,103.2,104.1,104.9,105.8,106.7,107.6,108.5,109.4,110.3,111.2,114.5,118.0,121.6,126.7,132.7,137.4,144.9,145.4,150.3,153.9
Ouarzazate,Appartement standing,GT,1.777,1.792,1.819,1.846,1.874,1.901,1.929,1.956,1.984,2.011,2.039,2.067,2.106,2.147,2.187,2.267,2.369,2.437,2.55,2.534,2.64,2.678,100.0,100.9,102.4,103.9,105.5,107.0,108.5,110.1,111.6,113.2,114.7,116.3,118.5,120.8,123.1,127.6,133.3,137.1,143.5,142.6,148.6,150.7
Ouarzazate,Appartement standing,APS,1.335,1.36,1.373,1.387,1.4,1.414,1.428,1.441,1.455,1.469,1.483,1.497,1.537,1.579,1.541,1.609,1.682,1.742,1.823,1.816,1.874,1.923,100.0,101.9,102.9,103.9,104.8,105.8,106.8,107.7,108.7,109.7,110.7,111.7,114.7,118.0,121.0,126.4,132.1,136.9,143.0,142.3,146.8,150.8
Ouarzazate,Appartement économique,PT,650.0,663.0,670.0,677.0,684.0,691.0,698.0,705.0,712.0,719.0,727.0,734.0,770.0,809.0,849.0,890.0,945.0,979.0,979.0,933.0,969.0,992.0,100.0,102.0,103.1,104.1,105.2,106.2,107.3,108.4,109.5,110.6,111.8,112.9,118.5,124.4,130.6,136.9,145.4,150.5,150.5,143.5,149.0,152.6
Ouarzazate,Appartement économique,MT,914.0,935.0,939.0,943.0,947.0,951.0,956.0,960.0,964.0,968.0,972.0,976.0,1.018,1.062,1.108,1.15,1.175,1.225,1.34,1.271,1.306,1.334,100.0,102.3,102.7,103.2,103.6,104.1,104.5,105.0,105.4,105.8,106.3,106.7,111.4,116.2,121.2,125.8,128.5,134.0,146.6,139.0,142.9,145.9
Ouarzazate,Appartement économique,GT,1.205,1.214,1.221,1.228,1.235,1.242,1.249,1.256,1.263,1.27,1.277,1.284,1.297,1.31,1.324,1.394,1.508,1.557,1.65,1.64,1.692,1.717,100.0,100.7,101.3,101.9,102.4,103.0,103.6,104.2,104.8,105.4,105.9,106.5,107.6,108.7,109.8,115.7,125.1,129.2,136.9,136.1,140.3,142.5
Ouarzazate,Appartement économique,APE,954.0,970.0,975.0,981.0,986.0,991.0,997.0,1.002,1.008,1.013,1.019,1.024,1.057,1.091,1.066,1.111,1.159,1.204,1.282,1.229,1.267,1.293,100.0,101.8,102.4,103.0,103.5,104.1,104.7,105.3,105.9,106.5,107.1,107.7,111.5,115.4,122.2,127.5,132.9,138.1,146.2,139.9,144.3,147.4
Ouarzazate,Maison sur lot économique,PT,687.0,698.0,702.0,706.0,710.0,714.0,719.0,723.0,727.0,732.0,736.0,740.0,751.0,776.0,802.0,830.0,850.0,873.0,921.0,857.0,889.0,915.0,100.0,101.6,102.2,102.8,103.4,104.0,104.6,105.2,105.9,106.5,107.1,107.8,109.4,113.0,116.8,120.8,123.8,127.0,134.1,124.7,129.4,133.2
Ouarzazate,Maison sur lot économique,MT,889.0,909.0,914.0,919.0,924.0,929.0,935.0,940.0,945.0,950.0,956.0,961.0,980.0,998.0,1.018,1.056,1.123,1.147,1.208,1.145,1.189,1.215,100.0,102.2,102.7,103.3,103.9,104.5,105.1,105.7,106.3,106.9,107.5,108.1,110.1,112.3,114.4,118.7,126.3,129.0,135.8,128.7,133.6,136.6
Ouarzazate,Maison sur lot économique,GT,1.26,1.277,1.286,1.295,1.305,1.314,1.324,1.333,1.343,1.353,1.363,1.373,1.391,1.41,1.456,1.489,1.517,1.552,1.578,1.578,1.621,1.648,100.0,101.4,102.1,102.8,103.6,104.3,105.1,105.9,106.6,107.4,108.2,109.0,110.5,112.0,115.6,118.2,120.5,123.2,125.2,125.3,128.7,130.9
Ouarzazate,Maison sur lot économique,MLE,962.0,979.0,985.0,991.0,998.0,1.004,1.01,1.016,1.023,1.029,1.036,1.042,1.06,1.079,1.029,1.063,1.111,1.136,1.187,1.134,1.175,1.201,100.0,101.8,102.5,103.1,103.7,104.4,105.0,105.6,106.3,107.0,107.6,108.3,110.1,112.3,115.3,119.2,124.6,127.5,133.6,127.0,131.6,134.7
Zagora,Villa,PT,2.56,2.582,2.58,2.578,2.575,2.573,2.57,2.567,2.564,2.561,2.558,2.555,2.574,2.64,2.707,2.722,2.839,2.954,3.05,2.975,3.075,3.175,100.0,100.9,100.8,100.7,100.6,100.5,100.4,100.3,100.2,100.0,99.9,99.8,100.5,103.1,105.8,106.3,110.9,115.4,119.1,116.2,120.1,124.0
Zagora,Villa,MT,2.962,3.005,3.052,3.068,3.115,3.131,3.179,3.226,3.275,3.323,3.372,3.422,3.519,3.618,3.72,3.8,3.925,3.983,4.2,4.173,4.273,4.323,100.0,101.5,103.0,103.6,105.2,105.7,107.3,108.9,110.6,112.2,113.9,115.5,118.8,122.2,125.6,128.3,132.5,134.5,141.8,140.9,144.3,146.0
Zagora,Villa,GT,3.61,3.691,3.812,3.933,4.057,4.182,4.309,4.437,4.567,4.699,4.832,4.967,5.136,5.309,5.485,5.55,5.625,5.685,6.0,5.954,5.971,6.014,100.0,102.2,105.6,108.9,112.4,115.8,119.3,122.9,126.5,130.1,133.8,137.6,142.3,147.0,151.9,153.7,155.8,157.5,166.2,164.9,165.4,166.6
Zagora,Villa,VIL,3.011,3.058,3.109,3.142,3.195,3.228,3.281,3.335,3.389,3.444,3.5,3.556,3.652,3.759,3.575,3.634,3.752,3.827,4.017,3.974,4.066,4.131,100.0,101.5,103.1,104.1,105.7,106.7,108.3,110.0,111.7,113.4,115.1,116.8,119.9,123.4,122.0,124.0,128.1,130.8,137.2,135.6,138.9,141.2
Zagora,Appartement standing,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zagora,Appartement standing,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zagora,Appartement standing,GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zagora,Appartement standing,APS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zagora,Appartement économique,PT,637.0,650.0,656.0,663.0,670.0,677.0,684.0,691.0,698.0,705.0,712.0,719.0,755.0,792.0,832.0,862.0,889.0,899.0,942.0,905.0,948.0,955.0,100.0,102.0,103.1,104.1,105.2,106.2,107.3,108.4,109.5,110.6,111.8,112.9,118.5,124.4,130.6,135.3,139.6,141.2,148.0,142.1,148.8,149.9
Zagora,Appartement économique,MT,794.0,812.0,815.0,819.0,822.0,826.0,829.0,833.0,837.0,840.0,844.0,847.0,884.0,922.0,962.0,993.0,1.055,1.071,1.13,1.13,1.18,1.203,100.0,102.3,102.7,103.2,103.6,104.1,104.5,105.0,105.4,105.8,106.3,106.7,111.4,116.2,121.2,125.1,132.9,135.0,142.4,142.4,148.7,151.5
Zagora,Appartement économique,GT,1.064,1.071,1.077,1.083,1.089,1.096,1.102,1.108,1.114,1.121,1.127,1.133,1.145,1.156,1.168,1.189,1.262,1.277,1.349,1.325,1.385,1.42,100.0,100.7,101.3,101.9,102.4,103.0,103.6,104.2,104.8,105.4,105.9,106.5,107.6,108.7,109.8,111.8,118.7,120.1,126.9,124.6,130.2,133.5
Zagora,Appartement économique,APE,863.0,876.0,881.0,886.0,891.0,896.0,902.0,907.0,912.0,917.0,922.0,927.0,955.0,983.0,959.0,988.0,1.041,1.055,1.112,1.095,1.145,1.165,100.0,101.7,102.3,102.9,103.5,104.1,104.7,105.3,105.9,106.5,107.1,107.7,111.3,114.9,122.1,125.9,132.4,134.2,141.3,139.0,145.3,147.7
Zagora,Maison sur lot économique,PT,664.0,674.0,678.0,682.0,686.0,690.0,694.0,699.0,703.0,707.0,711.0,715.0,726.0,750.0,775.0,800.0,825.0,835.0,875.0,827.0,866.0,881.0,100.0,101.6,102.2,102.8,103.4,104.0,104.6,105.2,105.9,106.5,107.1,107.8,109.4,113.0,116.8,120.5,124.3,125.8,131.8,124.6,130.5,132.8
Zagora,Maison sur lot économique,MT,804.0,821.0,826.0,831.0,835.0,840.0,845.0,850.0,854.0,859.0,864.0,869.0,886.0,903.0,920.0,950.0,1.01,1.025,1.075,1.013,1.054,1.079,100.0,102.2,102.7,103.3,103.9,104.5,105.1,105.7,106.3,106.9,107.5,108.1,110.1,112.3,114.4,118.1,125.6,127.5,133.7,125.9,131.0,134.2
Zagora,Maison sur lot économique,GT,952.0,965.0,972.0,979.0,986.0,993.0,1.0,1.008,1.015,1.022,1.03,1.037,1.052,1.066,1.101,1.119,1.184,1.195,1.26,1.218,1.278,1.295,100.0,101.4,102.1,102.8,103.6,104.3,105.1,105.9,106.6,107.4,108.2,109.0,110.5,112.0,115.6,117.5,124.4,125.5,132.4,128.0,134.2,136.0
Zagora,Maison sur lot économique,MLE,833.0,847.0,852.0,858.0,863.0,869.0,874.0,880.0,885.0,891.0,897.0,902.0,917.0,934.0,916.0,942.0,992.0,1.005,1.055,1.001,1.046,1.066,100.0,101.8,102.4,103.0,103.7,104.3,105.0,105.7,106.3,107.0,107.7,108.3,110.1,112.3,115.4,118.7,125.0,126.6,132.9,126.0,131.6,134.1
Tinghir,Villa,PT,2.222,2.242,2.244,2.242,2.239,2.237,2.235,2.232,2.23,2.227,2.224,2.221,2.238,2.295,2.354,2.411,2.501,2.573,2.631,2.55,2.665,2.725,100.0,100.9,101.0,100.9,100.8,100.7,100.6,100.5,100.3,100.2,100.1,100.0,100.7,103.3,105.9,108.5,112.5,115.8,118.4,114.8,119.9,122.6
Tinghir,Villa,MT,2.604,2.642,2.683,2.697,2.739,2.753,2.794,2.836,2.879,2.922,2.965,3.008,3.063,3.119,3.207,3.265,3.346,3.392,3.443,3.32,3.39,3.48,100.0,101.5,103.0,103.6,105.2,105.7,107.3,108.9,110.6,112.2,113.9,115.5,117.7,119.8,123.2,125.4,128.5,130.3,132.2,127.5,130.2,133.7
Tinghir,Villa,GT,3.289,3.363,3.405,3.446,3.485,3.523,3.559,3.63,3.7,3.769,3.839,3.908,3.962,4.016,4.109,4.184,4.28,4.344,4.389,4.337,4.407,4.442,100.0,102.2,103.5,104.8,106.0,107.1,108.2,110.4,112.5,114.6,116.7,118.8,120.5,122.1,124.9,127.2,130.1,132.1,133.5,131.9,134.0,135.1
Tinghir,Villa,VIL,2.662,2.703,2.736,2.752,2.783,2.798,2.829,2.867,2.905,2.943,2.982,3.02,3.067,3.122,3.094,3.154,3.24,3.296,3.348,3.247,3.329,3.403,100.0,101.5,102.7,103.2,104.4,104.9,106.0,107.3,108.7,110.0,111.4,112.7,114.4,116.6,118.6,120.9,124.2,126.4,128.5,124.5,127.8,130.7
Tinghir,Appartement standing,PT,965.0,979.0,984.0,989.0,994.0,999.0,1.004,1.009,1.024,1.029,1.034,1.039,1.054,1.06,1.067,1.081,1.087,1.098,1.107,1.064,1.109,1.173,100.0,101.5,102.0,102.5,103.0,103.6,104.1,104.6,106.2,106.7,107.2,107.8,109.3,109.9,110.6,112.0,112.7,113.9,114.8,110.3,115.0,121.6
Tinghir,Appartement standing,MT,1.09,1.115,1.125,1.134,1.144,1.153,1.163,1.173,1.182,1.192,1.202,1.212,1.248,1.286,1.325,1.347,1.389,1.412,1.447,1.43,1.465,1.53,100.0,102.3,103.2,104.1,104.9,105.8,106.7,107.6,108.5,109.4,110.3,111.2,114.5,118.0,121.6,123.5,127.5,129.5,132.8,131.2,134.4,140.4
Tinghir,Appartement standing,GT,1.372,1.384,1.405,1.426,1.447,1.468,1.489,1.51,1.532,1.553,1.574,1.596,1.626,1.658,1.689,1.736,1.767,1.82,1.879,1.86,1.92,2.01,100.0,100.9,102.4,103.9,105.5,107.0,108.5,110.1,111.6,113.2,114.7,116.3,118.5,120.8,123.1,126.5,128.8,132.6,137.0,135.6,139.9,146.5
Tinghir,Appartement standing,APS,1.119,1.141,1.151,1.162,1.173,1.184,1.194,1.205,1.218,1.229,1.24,1.251,1.284,1.317,1.33,1.354,1.39,1.414,1.449,1.427,1.467,1.535,100.0,102.0,102.9,103.8,104.8,105.7,106.7,107.6,108.7,109.6,110.6,111.6,114.5,117.4,120.1,122.2,125.4,127.6,130.6,128.6,132.2,138.3
Tinghir,Appartement économique,PT,622.0,634.0,641.0,647.0,654.0,660.0,667.0,674.0,681.0,688.0,695.0,702.0,737.0,773.0,812.0,843.0,906.0,954.0,977.0,917.0,939.0,944.0,100.0,102.0,103.1,104.1,105.2,106.2,107.3,108.4,109.5,110.6,111.8,112.9,118.5,124.4,130.6,135.6,145.7,153.5,157.1,147.5,151.1,152.0
Tinghir,Appartement économique,MT,815.0,834.0,838.0,841.0,845.0,849.0,852.0,856.0,859.0,863.0,867.0,870.0,908.0,947.0,988.0,1.019,1.048,1.108,1.192,1.14,1.2,1.26,100.0,102.3,102.7,103.2,103.6,104.1,104.5,105.0,105.4,105.8,106.3,106.7,111.4,116.2,121.2,124.9,128.6,135.9,146.2,139.8,147.2,154.5
Tinghir,Appartement économique,GT,979.0,986.0,991.0,997.0,1.003,1.008,1.014,1.02,1.026,1.031,1.037,1.043,1.054,1.064,1.075,1.094,1.188,1.258,1.357,1.349,1.407,1.454,100.0,100.7,101.3,101.9,102.4,103.0,103.6,104.2,104.8,105.4,105.9,106.5,107.6,108.7,109.8,111.7,121.4,128.5,138.6,137.8,143.7,148.6
Tinghir,Appartement économique,APE,841.0,855.0,860.0,864.0,869.0,874.0,879.0,884.0,889.0,894.0,899.0,904.0,931.0,960.0,953.0,982.0,1.033,1.091,1.16,1.114,1.163,1.204,100.0,101.7,102.3,102.9,103.5,104.1,104.7,105.3,105.9,106.5,107.1,107.7,111.2,114.9,121.8,125.6,132.2,139.6,148.0,141.7,147.6,152.7
Tinghir,Maison sur lot économique,PT,672.0,682.0,686.0,690.0,694.0,698.0,703.0,707.0,711.0,715.0,719.0,724.0,735.0,759.0,784.0,795.0,828.0,858.0,905.0,851.0,876.0,891.0,100.0,101.6,102.2,102.8,103.4,104.0,104.6,105.2,105.9,106.5,107.1,107.8,109.4,113.0,116.8,118.4,123.2,127.7,134.7,126.7,130.5,132.7
Tinghir,Maison sur lot économique,MT,877.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,937.0,942.0,947.0,966.0,984.0,1.003,1.02,1.045,1.07,1.12,1.068,1.111,1.155,100.0,102.2,102.7,103.3,103.9,104.5,105.1,105.7,106.3,106.9,107.5,108.1,110.1,112.3,114.4,116.4,119.2,122.1,127.8,121.8,126.8,131.8
