Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Dakhla,Villa,PT,4.05,4.1,4.1,3.9,3.531,3.645,3.718,3.819,3.908,4.003,4.097,4.192,4.287,4.381,4.28,4.387,4.565,4.7,4.394,4.123,4.95,5.325,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Villa,MT,4.85,4.9,4.883,4.883,4.639,4.883,4.92,4.998,5.017,5.165,5.312,5.46,5.608,5.756,5.623,5.763,6.208,6.5,7.205,6.574,7.843,8.165,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Villa,GT,6.516,6.842,6.431,5.917,6.199,6.433,6.941,6.984,7.019,7.152,7.287,7.421,7.555,7.69,7.593,7.783,7.9,8.4,9.3,8.452,17.947,21.201,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Villa,VIL,5.182,5.3,5.187,5.041,4.914,5.143,5.299,5.371,5.401,5.54,5.679,5.818,5.958,6.097,5.948,6.096,6.395,6.718,7.291,6.383,10.247,11.564,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Appartement standing,PT,1.659,1.56,1.451,1.364,1.363,1.47,1.562,1.646,1.728,1.766,1.805,1.843,1.882,1.908,1.786,1.755,1.875,1.989,1.916,1.796,1.982,2.067,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Appartement standing,MT,1.953,1.836,1.707,1.605,1.585,1.712,1.838,1.941,2.02,2.068,2.116,2.163,2.211,2.259,2.1,2.064,2.266,2.39,2.711,2.205,2.523,2.603,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Appartement standing,GT,2.721,2.558,2.378,2.336,2.445,2.546,2.56,2.663,2.729,2.805,2.882,2.958,3.035,3.124,2.893,2.843,2.806,2.99,3.269,2.958,3.195,3.314,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Appartement standing,APS,2.101,1.976,1.837,1.752,1.766,1.884,1.977,2.078,2.154,2.208,2.262,2.315,2.368,2.424,2.154,2.117,2.259,2.39,2.606,2.32,2.567,2.661,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Appartement économique,PT,888.0,950.0,962.0,914.0,934.0,1.0,1.072,1.122,1.197,1.219,1.242,1.265,1.287,1.31,1.214,1.242,1.365,1.401,1.587,1.327,1.423,1.678,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Appartement économique,MT,1.451,1.404,1.326,1.398,1.407,1.5,1.6,1.641,1.691,1.728,1.766,1.804,1.842,1.86,1.75,1.789,1.88,1.845,2.026,1.966,2.231,2.343,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Appartement économique,GT,1.885,1.875,1.918,2.056,2.132,2.177,2.254,2.292,2.344,2.402,2.46,2.518,2.576,2.654,2.452,2.507,2.398,2.496,2.564,2.348,2.647,2.71,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Appartement économique,APE,1.269,1.261,1.218,1.251,1.266,1.348,1.437,1.481,1.54,1.573,1.606,1.64,1.673,1.694,1.668,1.705,1.78,1.786,1.954,1.88,2.1,2.244,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Maison sur lot économique,PT,900.0,950.0,944.0,992.0,933.0,974.0,965.0,1.009,1.062,1.057,1.054,1.05,1.047,1.053,979.0,973.0,1.023,1.084,1.207,1.15,1.275,1.309,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Maison sur lot économique,MT,1.1,1.117,1.155,1.207,1.289,1.409,1.505,1.562,1.63,1.634,1.638,1.642,1.646,1.65,1.549,1.539,1.627,1.71,1.912,1.685,1.795,1.854,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Maison sur lot économique,GT,1.95,1.975,1.898,1.778,1.8,1.853,1.999,2.056,2.133,2.15,2.167,2.183,2.2,2.207,2.049,2.036,2.181,2.271,2.48,2.596,2.81,2.892,,,,,,,,,,,,,,,,,,,,,,
Dakhla,Maison sur lot économique,MLE,1.059,1.087,1.106,1.151,1.182,1.272,1.332,1.385,1.448,1.45,1.452,1.453,1.455,1.46,1.412,1.403,1.485,1.561,1.737,1.81,1.96,2.018,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Villa,PT,2.906,2.941,2.941,2.798,2.533,2.615,2.667,2.739,2.804,2.872,2.939,3.007,3.076,3.143,3.071,3.147,3.275,3.492,3.55,,,,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Villa,MT,3.629,3.666,3.654,3.654,3.471,3.654,3.681,3.74,3.753,3.865,3.975,4.085,4.196,4.307,4.207,4.312,4.645,4.555,4.65,,,,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Villa,GT,5.238,5.5,5.169,4.756,4.983,5.171,5.579,5.614,5.641,5.749,5.857,5.965,6.073,6.181,6.103,6.256,6.35,6.395,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Villa,VIL,3.954,4.047,3.957,3.841,3.751,3.925,4.049,4.103,4.125,4.231,4.337,4.442,4.548,4.654,4.549,4.663,4.887,4.894,4.897,,,,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Appartement standing,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Appartement standing,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Appartement standing,GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Appartement standing,APS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Appartement économique,PT,618.0,661.0,669.0,636.0,650.0,696.0,746.0,781.0,833.0,848.0,864.0,880.0,896.0,912.0,845.0,864.0,950.0,1.025,1.143,987.0,1.12,1.309,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Appartement économique,MT,818.0,792.0,747.0,788.0,793.0,846.0,902.0,925.0,953.0,974.0,996.0,1.017,1.039,1.049,987.0,1.009,1.06,1.08,1.15,930.0,1.367,2.137,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Appartement économique,GT,1.093,1.087,1.111,1.192,1.236,1.262,1.307,1.328,1.358,1.392,1.426,1.46,1.493,1.538,1.421,1.453,1.39,1.425,1.478,1.128,1.582,1.675,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Appartement économique,APE,757.0,756.0,732.0,749.0,758.0,807.0,861.0,888.0,925.0,944.0,964.0,984.0,1.004,1.017,999.0,1.021,1.068,1.109,1.192,1.015,1.356,1.707,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Maison sur lot économique,PT,946.0,998.0,992.0,1.042,980.0,1.024,1.014,1.06,1.115,1.111,1.108,1.103,1.1,1.107,1.029,1.022,1.075,1.2,1.256,1.011,1.543,1.68,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Maison sur lot économique,MT,926.0,940.0,973.0,1.016,1.085,1.186,1.267,1.315,1.372,1.376,1.379,1.383,1.386,1.389,1.304,1.296,1.37,1.395,1.387,1.277,1.95,2.523,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Maison sur lot économique,GT,1.654,1.675,1.61,1.508,1.527,1.572,1.695,1.744,1.809,1.824,1.838,1.852,1.866,1.872,1.738,1.727,1.85,1.93,1.96,1.55,2.235,2.869,,,,,,,,,,,,,,,,,,,,,,
Aoussred,Maison sur lot économique,MLE,957.0,985.0,1.001,1.042,1.064,1.142,1.193,1.24,1.297,1.298,1.3,1.301,1.302,1.307,1.263,1.255,1.328,1.395,1.414,1.279,1.909,2.357,,,,,,,,,,,,,,,,,,,,,,
Eddakhla Oued Eddahab,Villa,PT,3.95,3.999,3.999,3.804,3.444,3.555,3.626,3.724,3.811,3.904,3.996,4.088,4.181,4.273,4.248,4.354,4.531,4.668,4.372,4.123,4.95,5.325,,,,,,,,,,,,,,,,,,,,,,
Eddakhla Oued Eddahab,Villa,MT,4.743,4.792,4.776,4.776,4.537,4.776,4.811,4.888,4.906,5.051,5.195,5.34,5.485,5.629,5.586,5.725,6.167,6.449,7.138,6.574,7.843,8.165,,,,,,,,,,,,,,,,,,,,,,
Eddakhla Oued Eddahab,Villa,GT,6.404,6.725,6.321,5.816,6.093,6.323,6.821,6.864,6.898,7.029,7.162,7.294,7.425,7.558,7.554,7.743,7.859,8.347,9.218,8.452,17.947,21.201,,,,,,,,,,,,,,,,,,,,,,
Eddakhla Oued Eddahab,Villa,VIL,5.075,5.19,5.08,4.936,4.813,5.037,5.19,5.261,5.289,5.426,5.562,5.698,5.835,5.971,5.911,6.058,6.355,6.67,7.227,6.383,10.247,11.564,,,,,,,,,,,,,,,,,,,,,,
Eddakhla Oued Eddahab,Appartement standing,PT,1.659,1.56,1.451,1.364,1.363,1.47,1.562,1.646,1.728,1.766,1.805,1.843,1.882,1.908,1.786,1.755,1.875,1.989,1.916,1.796,1.982,2.067,,,,,,,,,,,,,,,,,,,,,,
Eddakhla Oued Eddahab,Appartement standing,MT,1.953,1.836,1.707,1.605,1.585,1.712,1.838,1.941,2.02,2.068,2.116,2.163,2.211,2.259,2.1,2.064,2.266,2.39,2.711,2.205,2.523,2.603,,,,,,,,,,,,,,,,,,,,,,
Eddakhla Oued Eddahab,Appartement standing,GT,2.721,2.558,2.378,2.336,2.445,2.546,2.56,2.663,2.729,2.805,2.882,2.958,3.035,3.124,2.893,2.843,2.806,2.99,3.269,2.958,3.195,3.314,,,,,,,,,,,,,,,,,,,,,,
Eddakhla Oued Eddahab,Appartement standing,APS,2.101,1.976,1.837,1.752,1.766,1.884,1.977,2.078,2.154,2.208,2.262,2.315,2.368,2.424,2.154,2.117,2.259,2.39,2.606,2.32,2.567,2.661,,,,,,,,,,,,,,,,,,,,,,
Eddakhla Oued Eddahab,Appartement économique,PT,864.0,925.0,936.0,890.0,909.0,973.0,1.044,1.092,1.165,1.187,1.209,1.231,1.253,1.275,1.204,1.232,1.354,1.391,1.575,1.261,1.386,1.628,,,,,,,,,,,,,,,,,,,,,,
