Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Tan Tan,Villa,PT,3.679,3.656,3.679,3.738,3.802,3.751,3.853,3.887,3.925,3.965,4.019,4.071,4.129,4.161,4.21,4.298,4.383,4.478,4.558,4.5,4.529,4.643,100.0,99.4,100.0,101.6,103.3,102.0,104.8,105.7,106.7,107.8,109.3,110.7,112.2,113.1,114.4,116.8,119.1,121.7,123.9,122.3,123.1,126.2
Tan Tan,Villa,MT,5.864,5.828,5.974,5.834,5.724,5.662,5.756,5.912,6.083,6.058,6.123,6.18,6.211,6.288,6.245,6.317,6.38,6.478,6.523,6.4,6.5,6.7,100.0,99.4,101.9,99.5,97.6,96.6,98.2,100.8,103.7,103.3,104.4,105.4,105.9,107.2,106.5,107.7,108.8,110.5,111.2,109.1,110.8,114.3
Tan Tan,Villa,GT,7.276,7.232,7.349,7.269,7.178,7.13,7.261,7.377,7.437,7.516,7.606,7.656,7.704,7.676,7.878,7.95,8.009,8.123,8.154,8.1,8.15,8.3,100.0,99.4,101.0,99.9,98.7,98.0,99.8,101.4,102.2,103.3,104.5,105.2,105.9,105.5,108.3,109.3,110.1,111.6,112.1,111.3,112.0,114.1
Tan Tan,Villa,VIL,5.844,5.808,5.938,5.825,5.736,5.677,5.777,5.915,6.057,6.053,6.12,6.176,6.212,6.27,5.897,5.973,6.042,6.141,6.195,6.1,6.173,6.341,100.0,99.4,101.6,99.8,98.3,97.3,99.0,101.4,103.8,103.7,104.9,105.9,106.5,107.6,109.0,110.5,111.9,113.9,115.0,113.2,114.5,117.6
Tan Tan,Appartement standing,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tan Tan,Appartement standing,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tan Tan,Appartement standing,GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tan Tan,Appartement standing,APS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tan Tan,Appartement économique,PT,492.0,500.0,510.0,522.0,533.0,541.0,536.0,548.0,561.0,572.0,570.0,574.0,586.0,600.0,608.0,645.0,680.0,724.0,755.0,748.0,768.0,802.0,100.0,101.6,103.6,106.2,108.3,110.1,108.9,111.4,114.0,116.3,115.9,116.8,119.1,122.0,123.6,131.2,138.3,147.3,153.5,152.1,156.2,163.1
Tan Tan,Appartement économique,MT,782.0,777.0,783.0,794.0,808.0,815.0,808.0,815.0,826.0,844.0,851.0,860.0,866.0,874.0,883.0,915.0,944.0,984.0,1.008,994.0,1.014,1.049,100.0,99.4,100.2,101.5,103.3,104.3,103.4,104.2,105.7,107.9,108.9,110.1,110.7,111.8,112.9,117.0,120.8,125.9,128.9,127.1,129.7,134.2
Tan Tan,Appartement économique,GT,1.104,1.084,1.065,1.065,1.065,1.065,1.05,1.076,1.096,1.122,1.126,1.144,1.148,1.162,1.173,1.213,1.252,1.298,1.333,1.328,1.35,1.387,100.0,98.2,96.4,96.4,96.4,96.4,95.1,97.4,99.2,101.7,102.0,103.6,104.0,105.3,106.2,109.9,113.4,117.6,120.7,120.3,122.3,125.6
Tan Tan,Appartement économique,APE,774.0,769.0,772.0,782.0,793.0,800.0,792.0,802.0,815.0,833.0,838.0,848.0,854.0,864.0,875.0,911.0,944.0,987.0,1.015,1.006,1.026,1.061,100.0,99.6,100.3,101.7,103.3,104.2,103.2,104.6,106.3,108.6,109.2,110.4,111.3,112.8,114.3,119.3,124.0,130.0,134.0,132.6,135.5,140.4
Tan Tan,Maison sur lot économique,PT,605.0,613.0,607.0,609.0,617.0,605.0,596.0,602.0,616.0,635.0,643.0,658.0,666.0,674.0,693.0,739.0,783.0,837.0,875.0,853.0,862.0,903.0,100.0,101.3,100.4,100.6,102.0,100.0,98.5,99.5,101.9,104.9,106.3,108.7,110.1,111.4,114.6,122.2,129.4,138.4,144.7,141.0,142.5,149.3
