Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Berkane,Villa,PT,2.899,2.937,2.953,2.939,2.858,2.861,2.955,3.045,3.11,3.202,3.237,3.271,3.287,3.3,3.367,3.426,3.524,3.56,3.613,3.619,3.702,3.766,100.0,101.3,101.9,101.4,98.6,98.7,101.9,105.0,107.3,110.4,111.7,112.8,113.4,113.8,116.1,118.2,121.5,122.8,124.6,124.8,127.7,129.9
Berkane,Villa,MT,3.635,3.68,3.802,3.848,3.849,3.895,4.004,4.153,4.25,4.385,4.462,4.543,4.587,4.621,4.653,4.69,4.786,4.819,4.853,4.84,4.938,5.051,100.0,101.2,104.6,105.9,105.9,107.2,110.2,114.3,116.9,120.6,122.8,125.0,126.2,127.1,128.0,129.0,131.7,132.6,133.5,133.2,135.9,139.0
Berkane,Villa,GT,5.38,5.516,5.489,5.363,5.459,5.517,5.67,5.843,6.156,6.458,6.627,6.772,6.843,6.863,6.91,7.091,7.211,7.259,7.31,7.3,7.405,7.481,100.0,102.5,102.0,99.7,101.5,102.5,105.4,108.6,114.4,120.0,123.2,125.9,127.2,127.6,128.4,131.8,134.0,134.9,135.9,135.7,137.6,139.0
Berkane,Villa,VIL,3.426,3.473,3.541,3.551,3.523,3.552,3.657,3.783,3.878,4.005,4.07,4.135,4.168,4.193,4.18,4.237,4.335,4.37,4.414,4.41,4.501,4.589,100.0,101.4,103.3,103.6,102.5,103.3,106.4,110.0,112.7,116.3,118.1,119.9,120.8,121.5,122.5,124.1,127.1,128.1,129.5,129.4,132.1,134.7
Berkane,Appartement standing,PT,1.293,1.311,1.337,1.338,1.379,1.394,1.436,1.468,1.547,1.607,1.611,1.65,1.676,1.704,1.759,1.783,1.848,1.88,1.93,1.917,1.967,2.033,100.0,101.4,103.4,103.4,106.6,107.8,111.0,113.5,119.6,124.3,124.6,127.6,129.6,131.7,136.0,137.9,142.9,145.4,149.2,148.2,152.1,157.2
Berkane,Appartement standing,MT,1.569,1.614,1.691,1.72,1.725,1.725,1.77,1.797,1.823,1.892,1.937,1.976,1.997,2.01,2.081,2.152,2.25,2.278,2.31,2.297,2.35,2.423,100.0,102.9,107.7,109.6,109.9,109.9,112.8,114.5,116.2,120.6,123.4,125.9,127.3,128.1,132.6,137.2,143.4,145.1,147.2,146.4,149.8,154.4
Berkane,Appartement standing,GT,2.061,2.12,2.148,2.233,2.233,2.241,2.27,2.348,2.427,2.52,2.569,2.605,2.621,2.631,2.72,2.753,2.85,2.888,2.967,2.958,2.996,3.05,100.0,102.9,104.3,108.4,108.4,108.7,110.2,114.0,117.8,122.3,124.7,126.4,127.2,127.7,132.0,133.6,138.3,140.1,144.0,143.6,145.4,148.0
Berkane,Appartement standing,APS,1.556,1.596,1.658,1.687,1.699,1.703,1.745,1.777,1.82,1.889,1.926,1.964,1.986,2.001,2.07,2.126,2.215,2.245,2.287,2.274,2.325,2.394,100.0,102.6,106.5,108.2,109.1,109.4,112.2,114.2,117.0,121.5,123.8,126.3,127.7,128.8,133.4,136.9,142.7,144.7,147.4,146.5,149.9,154.4
Berkane,Appartement économique,PT,819.0,838.0,837.0,843.0,881.0,888.0,923.0,962.0,1.019,1.073,1.081,1.102,1.12,1.128,1.159,1.193,1.261,1.283,1.288,1.273,1.297,1.351,100.0,102.4,102.2,103.0,107.6,108.4,112.8,117.5,124.5,131.0,132.1,134.6,136.8,137.8,141.6,145.7,154.0,156.7,157.4,155.5,158.5,165.0
Berkane,Appartement économique,MT,1.044,1.105,1.145,1.196,1.233,1.257,1.303,1.34,1.397,1.441,1.471,1.496,1.517,1.527,1.573,1.592,1.671,1.691,1.695,1.669,1.699,1.755,100.0,105.8,109.7,114.6,118.2,120.5,124.8,128.3,133.9,138.1,140.9,143.4,145.3,146.4,150.7,152.6,160.1,162.0,162.4,159.9,162.8,168.2
Berkane,Appartement économique,GT,1.402,1.451,1.492,1.487,1.552,1.556,1.579,1.641,1.695,1.754,1.773,1.801,1.824,1.859,1.956,1.969,2.053,2.086,2.088,2.061,2.08,2.116,100.0,103.5,106.5,106.1,110.7,111.0,112.7,117.1,120.9,125.1,126.5,128.5,130.2,132.6,139.5,140.4,146.5,148.8,149.0,147.1,148.4,150.9
Berkane,Appartement économique,APE,1.097,1.148,1.181,1.208,1.253,1.269,1.306,1.35,1.407,1.457,1.479,1.505,1.525,1.542,1.581,1.602,1.68,1.703,1.707,1.683,1.709,1.76,100.0,104.6,107.5,110.2,114.3,115.8,119.4,123.4,128.7,133.4,135.5,137.8,139.7,141.2,145.9,148.0,155.3,157.5,157.9,155.7,158.2,163.1
Berkane,Maison sur lot économique,PT,661.0,678.0,686.0,682.0,682.0,686.0,711.0,747.0,777.0,807.0,826.0,841.0,869.0,888.0,914.0,937.0,979.0,1.003,1.04,1.025,1.063,1.111,100.0,102.6,103.8,103.2,103.2,103.8,107.5,113.0,117.5,122.1,124.9,127.3,131.4,134.3,138.2,141.7,148.0,151.6,157.3,155.0,160.7,168.1
Berkane,Maison sur lot économique,MT,847.0,878.0,920.0,959.0,1.002,1.045,1.103,1.163,1.214,1.251,1.276,1.328,1.354,1.373,1.429,1.474,1.558,1.586,1.599,1.583,1.636,1.694,100.0,103.7,108.6,113.2,118.3,123.4,130.2,137.3,143.2,147.7,150.6,156.8,159.9,162.0,168.7,174.0,184.0,187.2,188.8,186.9,193.1,199.9
Berkane,Maison sur lot économique,GT,1.25,1.297,1.321,1.357,1.411,1.449,1.517,1.583,1.625,1.662,1.67,1.681,1.694,1.7,1.751,1.818,1.901,1.934,1.944,1.926,1.984,2.041,100.0,103.8,105.7,108.6,112.9,115.9,121.4,126.7,130.0,133.0,133.7,134.5,135.6,136.0,140.1,145.5,152.1,154.7,155.5,154.1,158.8,163.4
