Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Fès,Villa,PT,,2.444,2.432,2.612,2.573,2.575,2.65,2.69,2.795,2.899,3.308,3.641,4.307,4.093,4.133,4.209,4.274,4.399,4.471,,,,4.524,0.0,100.0,99.5,106.9,105.3,105.4,108.4,110.1,114.4,118.6,135.3,149.0,176.2,167.5,169.1,172.2,174.9,180.0,,,
Fès,Villa,MT,,3.5,3.675,3.525,3.25,3.75,4.5,5.017,5.104,5.139,5.487,5.703,6.294,6.235,6.543,6.796,6.951,7.099,7.188,,,,7.189,0.0,100.0,105.0,100.7,92.9,107.1,128.6,143.4,145.8,146.8,156.8,162.9,179.8,178.1,186.9,194.2,198.6,202.8,,,
Fès,Villa,GT,,5.0,5.475,5.25,5.0,5.679,5.6,6.429,7.406,7.806,8.771,9.384,10.778,10.44,10.754,10.922,11.083,11.278,11.398,,,,11.409,0.0,100.0,109.5,105.0,100.0,113.6,112.0,128.6,148.1,156.1,175.4,187.7,215.6,208.8,215.1,218.4,221.7,225.6,,,
Fès,Appartement standing,PT,,2.05,1.875,1.875,2.0,2.125,2.1,2.15,2.275,2.405,2.539,2.499,2.641,2.564,2.585,2.598,2.66,2.709,2.747,,,,2.8,0.0,100.0,91.5,91.5,97.6,103.7,102.4,104.9,111.0,117.3,123.8,121.9,128.8,125.1,126.1,126.7,129.7,132.1,,,
Fès,Appartement standing,MT,,2.929,2.775,2.875,3.371,3.239,3.243,3.324,3.431,3.591,3.743,3.698,3.555,3.59,3.648,3.74,3.819,3.92,3.987,,,,4.009,0.0,100.0,94.7,98.2,115.1,110.6,110.7,113.5,117.1,122.6,127.8,126.3,121.4,122.6,124.5,127.7,130.4,133.8,,,
Fès,Appartement standing,GT,,4.125,4.15,4.75,5.0,5.0,5.1,5.37,5.684,6.063,6.359,6.42,5.652,5.438,5.478,5.579,5.675,5.727,5.749,,,,5.776,0.0,100.0,100.6,115.2,121.2,121.2,123.6,130.2,137.8,147.0,154.1,155.6,137.0,131.8,132.8,135.2,137.6,138.8,,,
Fès,Appartement économique,PT,,839.0,894.0,1.04,1.045,1.072,1.068,1.172,1.287,1.32,1.361,1.415,1.352,1.44,1.445,1.475,1.525,1.547,1.556,,,,1.56,0.0,100.0,106.6,123.9,124.5,127.7,127.3,139.7,153.3,157.3,162.2,168.7,161.1,171.6,172.2,175.8,181.7,184.4,,,
Fès,Appartement économique,MT,,1.419,1.274,1.192,1.09,1.172,1.153,1.226,1.312,1.422,1.619,1.718,1.824,1.922,1.931,1.961,1.972,2.022,2.059,,,,2.086,0.0,100.0,89.7,84.0,76.8,82.6,81.2,86.4,92.5,100.2,114.1,121.1,128.5,135.4,136.1,138.2,139.0,142.5,,,
Fès,Appartement économique,GT,,1.735,1.888,1.709,1.786,1.752,1.842,1.937,2.115,2.247,2.281,2.321,2.542,2.499,2.54,2.606,2.648,2.667,2.69,,,,2.741,0.0,100.0,108.8,98.5,103.0,101.0,106.2,111.6,121.9,129.5,131.5,133.8,146.5,144.0,146.4,150.2,152.6,153.7,,,
Fès,Maison sur lot économique,PT,,820.0,856.0,712.0,668.0,794.0,820.0,916.0,940.0,997.0,1.13,1.203,1.213,1.248,1.254,1.27,1.303,1.341,1.36,,,,1.378,0.0,100.0,104.3,86.9,81.4,96.8,100.0,111.7,114.6,121.6,137.8,146.7,147.9,152.2,152.9,154.9,158.9,163.5,,,
Fès,Maison sur lot économique,MT,,1.15,1.172,1.157,1.073,1.115,1.139,1.165,1.259,1.342,1.452,1.554,1.608,1.653,1.714,1.779,1.81,1.862,1.881,,,,1.904,0.0,100.0,101.9,100.6,93.3,96.9,99.0,101.3,109.4,116.7,126.2,135.2,139.8,143.7,149.0,154.7,157.4,161.9,,,
Fès,Maison sur lot économique,GT,,1.7,1.718,1.71,1.691,1.738,1.77,1.893,1.958,2.024,2.04,2.138,2.424,2.254,2.31,2.395,2.451,2.468,2.476,,,,2.51,0.0,100.0,101.0,100.6,99.5,102.2,104.1,111.3,115.1,119.1,120.0,125.8,142.6,132.6,135.9,140.9,144.2,145.1,,,
Meknès,Villa,PT,,2.357,2.634,3.05,3.5,3.601,3.701,3.759,4.005,4.21,4.311,4.412,4.453,4.453,4.458,4.509,4.511,4.473,4.462,,,,4.51,0.0,100.0,111.7,129.4,148.5,152.8,157.0,159.5,169.9,178.6,182.9,187.2,188.9,188.9,189.1,191.3,191.4,189.8,,,
Meknès,Villa,MT,,2.669,3.096,3.599,4.076,4.272,4.487,4.691,4.98,5.342,5.488,5.62,5.648,5.648,5.653,5.71,5.833,5.946,5.995,,,,6.113,0.0,100.0,116.0,134.8,152.7,160.1,168.1,175.7,186.6,200.1,205.6,210.6,211.6,211.6,211.8,213.9,218.6,222.8,,,
Meknès,Villa,GT,,4.75,5.25,5.93,6.436,6.873,7.127,7.279,7.918,8.503,9.821,11.05,11.15,11.148,11.153,11.4,11.369,11.228,11.195,,,,10.971,0.0,100.0,110.5,124.8,135.5,144.7,150.0,153.2,166.7,179.0,206.7,232.6,234.7,234.7,234.8,240.0,239.4,236.4,,,
Meknès,Appartement standing,PT,,1.62,1.775,2.08,2.272,2.294,2.295,2.258,2.465,2.566,2.797,2.905,2.993,3.039,3.053,3.128,3.161,3.16,3.104,,,,2.966,0.0,100.0,109.6,128.4,140.2,141.6,141.7,139.4,152.1,158.4,172.7,179.3,184.7,187.6,188.5,193.1,195.1,195.0,,,
Meknès,Appartement standing,MT,,2.363,2.594,2.992,3.345,3.726,3.886,3.963,4.36,4.604,4.71,4.816,4.884,4.909,4.924,4.994,5.067,5.032,4.936,,,,4.688,0.0,100.0,109.8,126.6,141.5,157.7,164.5,167.7,184.5,194.8,199.3,203.8,206.7,207.7,208.4,211.3,214.4,212.9,,,
Meknès,Appartement standing,GT,,3.563,3.44,3.937,4.278,4.549,4.884,4.959,5.359,5.614,5.744,5.782,5.798,5.788,5.798,5.826,5.857,5.761,5.71,,,,5.464,0.0,100.0,96.5,110.5,120.1,127.7,137.1,139.2,150.4,157.5,161.2,162.3,162.7,162.4,162.7,163.5,164.4,161.7,,,
Meknès,Appartement économique,PT,,810.0,860.0,976.0,1.077,1.165,1.215,1.175,1.205,1.24,1.259,1.264,1.285,1.285,1.295,1.311,1.333,1.359,1.38,,,,1.394,0.0,100.0,106.2,120.4,132.9,143.8,150.0,145.1,148.8,153.1,155.4,156.0,158.6,158.6,159.9,161.8,164.6,167.8,,,
Meknès,Appartement économique,MT,,1.237,1.32,1.415,1.46,1.53,1.587,1.579,1.652,1.731,1.788,1.828,1.85,1.845,1.855,1.881,1.908,1.908,1.919,,,,1.959,0.0,100.0,106.7,114.4,118.0,123.6,128.3,127.6,133.5,139.9,144.5,147.8,149.6,149.2,150.0,152.0,154.3,154.2,,,
Meknès,Appartement économique,GT,,1.538,1.715,1.881,1.923,1.934,1.948,2.012,2.07,2.112,2.269,2.411,2.425,2.423,2.428,2.483,2.477,2.506,2.536,,,,2.556,0.0,100.0,111.5,122.3,125.0,125.7,126.7,130.8,134.6,137.3,147.5,156.8,157.7,157.5,157.8,161.4,161.1,162.9,,,
Meknès,Maison sur lot économique,PT,,821.0,810.0,793.0,793.0,755.0,769.0,797.0,835.0,889.0,936.0,962.0,1.01,1.018,1.025,1.057,1.103,1.148,1.176,,,,1.204,0.0,100.0,98.7,96.6,96.5,92.0,93.7,97.1,101.6,108.2,113.9,117.1,123.0,123.9,124.8,128.7,134.3,139.8,,,
Meknès,Maison sur lot économique,MT,,1.19,1.216,1.162,1.158,1.114,1.194,1.141,1.197,1.261,1.317,1.349,1.388,1.398,1.405,1.436,1.499,1.557,1.593,,,,1.633,0.0,100.0,102.2,97.6,97.3,93.6,100.3,95.8,100.5,106.0,110.7,113.3,116.6,117.4,118.1,120.7,126.0,130.8,,,
Meknès,Maison sur lot économique,GT,,1.44,1.45,1.543,1.47,1.44,1.484,1.499,1.613,1.719,1.757,1.773,1.795,1.795,1.81,1.831,1.901,1.961,1.999,,,,2.047,0.0,100.0,100.7,107.2,102.0,100.0,103.1,104.1,112.0,119.3,122.0,123.1,124.7,124.7,125.7,127.2,132.0,136.1,,,
Taza,Villa,PT,,2.226,2.292,2.416,2.508,2.554,2.621,2.665,2.787,2.902,3.008,3.128,3.215,3.26,3.295,3.362,3.414,3.498,3.544,,,,3.56,0.0,100.0,103.0,108.5,112.7,114.7,117.8,119.8,125.2,130.4,135.2,140.5,144.4,146.5,148.1,151.0,153.4,157.1,,,
Taza,Villa,MT,,3.271,3.433,3.604,3.724,3.866,3.996,4.129,4.295,4.459,4.626,4.749,4.86,4.86,4.972,5.082,5.182,5.268,5.318,,,,5.295,0.0,100.0,105.0,110.2,113.8,118.2,122.2,126.2,131.3,136.3,141.4,145.2,148.6,148.6,152.0,155.4,158.4,161.1,,,
Taza,Villa,GT,,4.781,5.008,5.144,5.269,5.479,5.569,5.85,6.186,6.541,6.895,7.157,7.341,7.289,7.41,7.538,7.593,7.616,7.657,,,,7.625,0.0,100.0,104.7,107.6,110.2,114.6,116.5,122.3,129.4,136.8,144.2,149.7,153.5,152.4,155.0,157.7,158.8,159.3,,,
Taza,Appartement standing,PT,,1.172,1.165,1.263,1.364,1.411,1.403,1.407,1.513,1.587,1.671,1.692,1.764,1.754,1.766,1.793,1.823,1.837,1.831,,,,1.848,0.0,100.0,99.5,107.8,116.4,120.4,119.8,120.1,129.1,135.4,142.6,144.4,150.5,149.7,150.7,153.0,155.6,156.8,,,
Taza,Appartement standing,MT,,1.344,1.363,1.489,1.705,1.768,1.81,1.85,1.978,2.08,2.146,2.162,2.142,2.158,2.176,2.217,2.256,2.272,2.265,,,,2.277,0.0,100.0,101.5,110.9,126.9,131.6,134.7,137.7,147.2,154.8,159.7,160.9,159.5,160.6,162.0,165.0,167.9,169.1,,,
Taza,Appartement standing,GT,,2.062,2.035,2.33,2.488,2.561,2.677,2.77,2.961,3.131,3.245,3.272,3.07,3.01,3.024,3.058,3.093,3.08,3.076,,,,3.131,0.0,100.0,98.7,113.0,120.7,124.2,129.9,134.3,143.6,151.9,157.4,158.7,148.9,146.0,146.7,148.3,150.0,149.4,,,
Taza,Appartement économique,PT,,806.0,832.0,872.0,892.0,914.0,932.0,956.0,995.0,1.021,1.047,1.071,1.064,1.097,1.108,1.13,1.165,1.187,1.203,,,,1.196,0.0,100.0,103.3,108.2,110.7,113.4,115.7,118.7,123.4,126.7,129.9,132.9,132.1,136.1,137.5,140.2,144.5,147.3,,,
Taza,Appartement économique,MT,,1.02,1.041,1.049,1.074,1.093,1.115,1.139,1.163,1.193,1.23,1.273,1.312,1.349,1.395,1.446,1.485,1.511,1.531,,,,1.535,0.0,100.0,102.0,102.9,105.2,107.1,109.2,111.6,114.0,116.9,120.6,124.8,128.6,132.3,136.8,141.7,145.6,148.1,,,
Taza,Appartement économique,GT,,1.293,1.345,1.334,1.374,1.373,1.409,1.461,1.535,1.598,1.671,1.736,1.781,1.801,1.827,1.875,1.898,1.919,1.936,,,,1.94,0.0,100.0,104.1,103.2,106.3,106.2,109.0,113.0,118.7,123.6,129.2,134.3,137.8,139.3,141.3,145.0,146.8,148.4,,,
Taza,Maison sur lot économique,PT,,601.0,615.0,634.0,651.0,679.0,704.0,730.0,746.0,765.0,789.0,811.0,842.0,869.0,889.0,917.0,955.0,989.0,1.01,,,,1.018,0.0,100.0,102.5,105.5,108.3,113.1,117.3,121.6,124.2,127.4,131.4,135.0,140.2,144.7,148.0,152.8,158.9,164.7,,,
Taza,Maison sur lot économique,MT,,867.0,885.0,871.0,852.0,856.0,894.0,921.0,969.0,1.022,1.079,1.135,1.174,1.202,1.236,1.276,1.314,1.353,1.374,,,,1.375,0.0,100.0,102.1,100.4,98.2,98.7,103.1,106.1,111.7,117.8,124.4,130.8,135.3,138.6,142.4,147.1,151.5,156.0,,,
Taza,Maison sur lot économique,GT,,1.162,1.177,1.209,1.191,1.204,1.234,1.281,1.341,1.403,1.433,1.476,1.575,1.538,1.57,1.613,1.66,1.688,1.704,,,,1.712,0.0,100.0,101.3,104.1,102.5,103.6,106.2,110.3,115.4,120.7,123.3,127.0,135.5,132.4,135.1,138.8,142.9,145.3,,,
Sefrou,Villa,PT,,2.008,2.05,2.093,2.137,2.182,2.228,2.275,2.323,2.39,2.472,2.541,2.613,2.686,2.762,2.835,2.918,3.0,3.05,,,,3.079,0.0,100.0,102.1,104.3,106.5,108.7,111.0,113.3,115.7,119.1,123.1,126.6,130.1,133.8,137.6,141.2,145.3,149.4,,,
Sefrou,Villa,MT,,2.942,3.072,3.207,3.349,3.496,3.65,3.811,3.979,4.12,4.172,4.229,4.287,4.346,4.405,4.463,4.518,4.547,4.581,,,,4.594,0.0,100.0,104.4,109.0,113.8,118.8,124.1,129.5,135.3,140.0,141.8,143.8,145.7,147.7,149.7,151.7,153.6,154.6,,,
Sefrou,Villa,GT,,3.998,4.379,4.332,4.456,4.933,5.045,5.698,6.194,6.443,6.456,6.454,6.463,6.601,6.752,6.83,6.911,6.948,6.966,,,,6.986,0.0,100.0,109.5,108.4,111.5,123.4,126.2,142.5,154.9,161.2,161.5,161.4,161.7,165.1,168.9,170.8,172.9,173.8,,,
Sefrou,Appartement standing,PT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Sefrou,Appartement standing,MT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Sefrou,Appartement standing,GT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Sefrou,Appartement économique,PT,,739.0,753.0,766.0,780.0,795.0,809.0,824.0,839.0,860.0,885.0,906.0,927.0,949.0,971.0,997.0,1.043,1.07,1.095,,,,1.118,0.0,100.0,101.8,103.7,105.6,107.5,109.4,111.4,113.5,116.4,119.8,122.6,125.4,128.3,131.3,134.9,141.0,144.7,,,
Sefrou,Appartement économique,MT,,877.0,892.0,907.0,922.0,938.0,954.0,970.0,987.0,1.019,1.067,1.106,1.146,1.188,1.231,1.275,1.323,1.34,1.354,,,,1.367,0.0,100.0,101.7,103.4,105.2,107.0,108.8,110.6,112.5,116.2,121.7,126.1,130.7,135.4,140.3,145.3,150.8,152.7,,,
Sefrou,Appartement économique,GT,,1.0,1.019,1.038,1.057,1.077,1.097,1.118,1.139,1.185,1.246,1.288,1.332,1.377,1.423,1.47,1.514,1.539,1.556,,,,1.588,0.0,100.0,101.9,103.8,105.7,107.7,109.7,111.8,113.9,118.5,124.6,128.8,133.1,137.7,142.3,147.0,151.4,153.8,,,
Sefrou,Maison sur lot économique,PT,,514.0,534.0,554.0,576.0,598.0,621.0,646.0,671.0,710.0,757.0,794.0,833.0,874.0,917.0,961.0,1.003,1.045,1.069,,,,1.078,0.0,100.0,103.9,107.9,112.1,116.5,121.0,125.7,130.6,138.2,147.3,154.6,162.2,170.1,178.5,187.1,195.3,203.4,,,
Sefrou,Maison sur lot économique,MT,,792.0,809.0,826.0,844.0,862.0,880.0,899.0,918.0,953.0,1.003,1.045,1.088,1.134,1.181,1.226,1.262,1.289,1.311,,,,1.334,0.0,100.0,102.1,104.3,106.5,108.8,111.1,113.5,115.9,120.3,126.6,131.9,137.4,143.1,149.0,154.7,159.3,162.7,,,
Sefrou,Maison sur lot économique,GT,,933.0,959.0,986.0,1.013,1.041,1.07,1.1,1.13,1.176,1.225,1.263,1.302,1.342,1.383,1.428,1.469,1.49,1.501,,,,1.519,0.0,100.0,102.8,105.6,108.6,111.6,114.7,117.9,121.1,126.0,131.3,135.3,139.5,143.8,148.2,153.0,157.4,159.7,,,
Azrou,Villa,PT,,1.918,1.967,2.042,2.104,2.145,2.197,2.238,2.315,2.397,2.482,2.568,2.64,2.694,2.744,2.807,2.868,2.943,2.985,,,,2.984,0.0,100.0,102.6,106.5,109.7,111.9,114.6,116.7,120.7,125.0,129.5,133.9,137.7,140.5,143.1,146.4,149.6,153.5,,,
Azrou,Villa,MT,,2.787,2.918,3.055,3.172,3.303,3.43,3.562,3.711,3.848,3.946,4.027,4.103,4.129,4.206,4.281,4.351,4.403,4.442,,,,4.468,0.0,100.0,104.7,109.6,113.8,118.5,123.1,127.8,133.2,138.1,141.6,144.5,147.2,148.2,150.9,153.6,156.1,158.0,,,
Azrou,Villa,GT,,4.175,4.337,4.494,4.645,4.812,4.932,5.137,5.429,5.694,5.855,6.01,6.167,6.349,6.473,6.567,6.629,6.657,6.679,,,,6.72,0.0,100.0,103.9,107.6,111.3,115.2,118.1,123.0,130.0,136.4,140.2,143.9,147.7,152.1,155.0,157.3,158.8,159.4,,,
Azrou,Appartement standing,PT,,1.02,1.064,1.109,1.146,1.194,1.213,1.258,1.313,1.358,1.419,1.446,1.496,1.508,1.516,1.547,1.567,1.572,1.57,,,,1.574,0.0,100.0,104.3,108.7,112.3,117.0,118.9,123.3,128.7,133.1,139.1,141.8,146.7,147.8,148.6,151.7,153.7,154.1,,,
Azrou,Appartement standing,MT,,1.256,1.315,1.386,1.454,1.523,1.594,1.675,1.75,1.812,1.858,1.891,1.933,1.987,2.01,2.042,2.073,2.068,2.064,,,,2.068,0.0,100.0,104.7,110.3,115.7,121.2,126.9,133.4,139.3,144.2,147.9,150.6,153.9,158.2,160.0,162.5,165.0,164.6,,,
Azrou,Appartement standing,GT,,2.037,2.11,2.206,2.304,2.398,2.478,2.544,2.636,2.72,2.796,2.816,2.758,2.736,2.744,2.763,2.784,2.75,2.741,,,,2.768,0.0,100.0,103.6,108.3,113.1,117.7,121.7,124.9,129.4,133.5,137.3,138.3,135.4,134.4,134.7,135.7,136.7,135.0,,,
Azrou,Appartement économique,PT,,744.0,763.0,789.0,809.0,831.0,855.0,883.0,909.0,933.0,958.0,980.0,1.003,1.03,1.047,1.071,1.112,1.137,1.157,,,,1.166,0.0,100.0,102.6,106.0,108.8,111.7,115.0,118.7,122.2,125.4,128.8,131.8,134.8,138.5,140.7,144.0,149.4,152.8,,,
Azrou,Appartement économique,MT,,947.0,965.0,977.0,996.0,1.014,1.033,1.053,1.073,1.094,1.125,1.165,1.204,1.242,1.286,1.332,1.375,1.396,1.412,,,,1.421,0.0,100.0,101.9,103.1,105.2,107.0,109.0,111.2,113.3,115.5,118.7,123.0,127.1,131.1,135.7,140.6,145.1,147.3,,,
Azrou,Appartement économique,GT,,1.138,1.173,1.177,1.207,1.216,1.244,1.28,1.327,1.374,1.434,1.486,1.53,1.562,1.598,1.644,1.677,1.699,1.715,,,,1.72,0.0,100.0,103.1,103.5,106.0,106.9,109.3,112.5,116.6,120.8,126.0,130.6,134.4,137.2,140.4,144.4,147.4,149.3,,,
Azrou,Maison sur lot économique,PT,,563.0,581.0,600.0,620.0,646.0,670.0,695.0,716.0,742.0,774.0,803.0,838.0,872.0,904.0,940.0,980.0,1.018,1.04,,,,1.053,0.0,100.0,103.1,106.6,110.1,114.7,119.0,123.5,127.1,131.8,137.4,142.7,148.9,154.9,160.5,166.9,174.0,180.8,,,
Azrou,Maison sur lot économique,MT,,833.0,851.0,852.0,851.0,862.0,891.0,914.0,948.0,986.0,1.035,1.084,1.125,1.161,1.201,1.244,1.281,1.314,1.334,,,,1.354,0.0,100.0,102.1,102.3,102.2,103.5,106.9,109.6,113.7,118.4,124.2,130.0,135.0,139.4,144.2,149.3,153.7,157.6,,,
Azrou,Maison sur lot économique,GT,,1.051,1.071,1.101,1.105,1.125,1.155,1.194,1.239,1.293,1.333,1.373,1.415,1.416,1.452,1.495,1.539,1.563,1.575,,,,1.582,0.0,100.0,102.0,104.8,105.2,107.1,109.9,113.6,118.0,123.1,126.9,130.7,134.7,134.8,138.2,142.3,146.5,148.8,,,
El Hajeb,Villa,PT,,1.885,1.929,1.987,2.037,2.079,2.125,2.168,2.206,2.277,2.356,2.43,2.498,2.559,2.619,2.684,2.752,2.813,2.843,,,,2.835,0.0,100.0,102.3,105.4,108.1,110.2,112.7,115.0,117.0,120.8,125.0,128.9,132.5,135.7,138.9,142.3,145.9,149.2,,,
El Hajeb,Villa,MT,,2.645,2.765,2.906,3.041,3.17,3.301,3.438,3.586,3.715,3.785,3.85,3.912,3.991,4.055,4.118,4.176,4.215,4.251,,,,4.256,0.0,100.0,104.6,109.9,114.9,119.8,124.8,130.0,135.6,140.5,143.1,145.5,147.9,150.9,153.3,155.7,157.9,159.3,,,
El Hajeb,Villa,GT,,3.819,3.994,4.146,4.339,4.514,4.622,4.828,5.081,5.306,5.489,5.599,5.717,5.861,5.986,6.125,6.314,6.407,6.428,,,,6.444,0.0,100.0,104.6,108.6,113.6,118.2,121.0,126.4,133.1,139.0,143.8,146.6,149.7,153.5,156.8,160.4,165.3,167.8,,,
El Hajeb,Appartement standing,PT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
El Hajeb,Appartement standing,MT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
