Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Casablanca,Villa,PT,,6.448,7.061,7.762,8.487,8.4,8.122,7.803,8.259,8.89,8.919,9.004,9.396,9.453,9.498,9.47,9.6,9.68,9.627,9.685,9.227,9.45,9.789,,100.0,109.5,120.4,131.6,130.3,126.0,121.0,128.1,137.9,138.3,139.6,145.7,146.6,147.3,146.9,148.9,150.1,149.3,150.2,143.1
Casablanca,Villa,MT,,11.0,11.357,10.746,10.602,11.658,13.228,15.261,17.029,17.575,17.656,18.179,17.423,17.434,17.655,17.558,17.534,17.622,17.436,17.529,17.063,17.508,18.02,,100.0,103.2,97.7,96.4,106.0,120.3,138.7,154.8,159.8,160.5,165.3,158.4,158.5,160.5,159.6,159.4,160.2,158.5,159.4,155.1
Casablanca,Villa,GT,,19.196,20.256,20.071,22.365,24.039,27.503,31.605,34.893,36.345,34.99,35.007,33.795,34.218,34.616,34.097,33.818,33.647,32.267,32.44,31.189,31.86,32.535,,100.0,105.5,104.6,116.5,125.2,143.3,164.6,181.8,189.3,182.3,182.4,176.1,178.3,180.3,177.6,176.2,175.3,168.1,169.0,162.5
Casablanca,Appartement standing,PT,,3.22,3.631,3.682,3.73,3.894,4.215,4.636,5.03,5.082,5.068,5.139,5.137,5.198,5.28,5.382,5.475,5.548,5.479,5.551,5.422,5.567,5.832,,100.0,112.8,114.4,115.8,120.9,130.9,144.0,156.2,157.8,157.4,159.6,159.5,161.5,164.0,167.2,170.0,172.3,170.2,172.4,168.4
Casablanca,Appartement standing,MT,,5.631,5.683,5.672,5.735,5.848,5.978,6.173,6.571,6.687,6.745,6.809,6.794,6.851,6.909,6.984,7.085,7.161,7.125,7.209,7.128,7.309,7.483,,100.0,100.9,100.7,101.8,103.9,106.1,109.6,116.7,118.7,119.8,120.9,120.6,121.7,122.7,124.0,125.8,127.2,126.5,128.0,126.6
Casablanca,Appartement standing,GT,,7.87,8.781,9.128,9.5,9.529,10.185,10.538,11.412,11.586,11.374,11.537,11.158,11.031,11.055,11.09,11.138,11.217,11.225,11.304,11.012,11.127,11.36,,100.0,111.6,116.0,120.7,121.1,129.4,133.9,145.0,147.2,144.5,146.6,141.8,140.2,140.5,140.9,141.5,142.5,142.6,143.6,139.9
Casablanca,Appartement économique,PT,,1.449,1.462,1.483,1.534,1.582,1.63,1.665,1.75,1.82,1.914,2.032,2.129,2.181,2.243,2.281,2.296,2.345,2.365,2.408,2.338,2.408,2.543,,100.0,100.9,102.3,105.8,109.2,112.5,114.9,120.7,125.5,132.1,140.2,146.9,150.5,154.7,157.4,158.4,161.8,163.2,166.1,161.3
Casablanca,Appartement économique,MT,,2.067,2.114,2.061,2.113,2.27,2.261,2.269,2.462,2.571,2.757,2.862,2.996,3.08,3.15,3.194,3.199,3.262,3.294,3.353,3.274,3.34,3.462,,100.0,102.3,99.7,102.2,109.8,109.4,109.8,119.1,124.4,133.4,138.5,144.9,149.0,152.4,154.5,154.7,157.8,159.3,162.2,158.4
Casablanca,Appartement économique,GT,,2.886,3.067,3.065,3.042,3.158,3.35,3.638,3.661,3.767,3.855,3.995,4.057,4.084,4.089,4.148,4.172,4.214,4.228,4.302,4.158,4.271,4.344,,100.0,106.3,106.2,105.4,109.4,116.1,126.0,126.9,130.5,133.6,138.4,140.6,141.5,141.7,143.7,144.6,146.0,146.5,149.1,144.1
Casablanca,Maison sur lot économique,PT,,1.313,1.294,1.349,1.359,1.423,1.44,1.444,1.504,1.528,1.603,1.715,1.826,1.857,1.904,1.938,1.954,1.99,2.017,2.057,2.054,2.123,2.203,,100.0,98.5,102.7,103.5,108.4,109.7,109.9,114.6,116.4,122.1,130.6,139.0,141.4,145.0,147.6,148.8,151.6,153.6,156.6,156.4
