Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Errachidia,Villa,PT,,2.482,2.504,2.502,2.499,2.497,2.494,2.492,2.489,2.486,2.483,2.48,2.477,2.495,2.559,2.625,2.641,2.751,2.855,2.945,2.752,2.818,2.872,,100.0,100.9,100.8,100.7,100.6,100.5,100.4,100.3,100.2,100.0,99.9,99.8,100.5,103.1,105.8,106.4,110.9,115.0,118.7,110.9
Errachidia,Villa,MT,,3.042,3.086,3.134,3.151,3.199,3.216,3.265,3.314,3.363,3.413,3.464,3.515,3.614,3.716,3.821,3.9,4.025,4.138,4.275,4.042,4.129,4.176,,100.0,101.5,103.0,103.6,105.2,105.7,107.3,108.9,110.6,112.2,113.9,115.5,118.8,122.2,125.6,128.2,132.3,136.0,140.5,132.9
Errachidia,Villa,GT,,3.405,3.481,3.595,3.71,3.827,3.945,4.064,4.185,4.308,4.432,4.558,4.685,4.844,5.007,5.173,5.343,5.528,5.67,5.85,5.509,5.636,5.695,,100.0,102.2,105.6,108.9,112.4,115.8,119.3,122.9,126.5,130.1,133.8,137.6,142.3,147.0,151.9,156.9,162.3,166.5,171.8,161.8
Errachidia,Appartement standing,PT,,1.039,1.055,1.06,1.065,1.071,1.076,1.082,1.087,1.092,1.098,1.103,1.109,1.135,1.177,1.219,1.25,1.34,1.393,1.41,1.355,1.405,1.437,,100.0,101.5,102.0,102.5,103.0,103.6,104.1,104.6,105.1,105.6,106.2,106.7,109.3,113.2,117.3,120.3,128.9,134.0,135.7,130.4
Errachidia,Appartement standing,MT,,1.328,1.359,1.371,1.382,1.394,1.405,1.417,1.429,1.441,1.453,1.464,1.476,1.521,1.567,1.615,1.663,1.691,1.752,1.815,1.765,1.848,1.903,,100.0,102.3,103.2,104.1,104.9,105.8,106.7,107.6,108.5,109.4,110.3,111.2,114.5,118.0,121.6,125.2,127.3,131.9,136.7,132.9
Errachidia,Appartement standing,GT,,1.59,1.604,1.628,1.653,1.677,1.702,1.726,1.751,1.775,1.8,1.825,1.85,1.885,1.921,1.958,1.995,2.056,2.121,2.161,2.13,2.21,2.253,,100.0,100.9,102.4,103.9,105.5,107.0,108.5,110.1,111.6,113.2,114.7,116.3,118.5,120.8,123.1,125.4,129.3,133.3,135.9,133.9
Errachidia,Appartement économique,PT,,620.0,633.0,639.0,646.0,652.0,659.0,666.0,672.0,679.0,686.0,693.0,700.0,735.0,771.0,810.0,850.0,908.0,958.0,1.0,956.0,977.0,1.011,,100.0,102.0,103.1,104.1,105.2,106.2,107.3,108.4,109.5,110.6,111.8,112.9,118.5,124.4,130.6,137.1,146.4,154.4,161.3,154.2
Errachidia,Appartement économique,MT,,791.0,809.0,812.0,816.0,819.0,823.0,826.0,830.0,833.0,837.0,840.0,844.0,881.0,919.0,958.0,1.0,1.075,1.145,1.215,1.173,1.216,1.242,,100.0,102.3,102.7,103.2,103.6,104.1,104.5,105.0,105.4,105.8,106.3,106.7,111.4,116.2,121.2,126.5,136.0,144.8,153.7,148.4
Errachidia,Appartement économique,GT,,1.2,1.209,1.215,1.222,1.229,1.236,1.243,1.25,1.257,1.264,1.271,1.278,1.291,1.304,1.317,1.33,1.424,1.518,1.625,1.584,1.622,1.646,,100.0,100.7,101.3,101.8,102.4,103.0,103.6,104.1,104.7,105.3,105.9,106.5,107.6,108.7,109.7,110.8,118.7,126.5,135.4,132.0
Errachidia,Maison sur lot économique,PT,,696.0,706.0,711.0,715.0,719.0,723.0,728.0,732.0,736.0,741.0,745.0,750.0,761.0,786.0,812.0,823.0,855.0,880.0,925.0,860.0,891.0,903.0,,100.0,101.6,102.2,102.8,103.4,104.0,104.6,105.2,105.9,106.5,107.1,107.8,109.4,113.0,116.8,118.2,122.9,126.5,133.0,123.6
