Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Dakhla,Villa,PT,,4.05,4.1,4.1,3.9,3.531,3.645,3.718,3.819,3.908,4.003,4.097,4.192,4.287,4.381,4.28,4.387,4.565,4.7,4.394,4.123,4.95,5.325,0.0,100.0,101.2,101.2,96.3,87.2,90.0,91.8,94.3,96.5,98.8,101.2,103.5,105.9,108.2,105.7,108.3,112.7,116.0,108.5,101.8
Dakhla,Villa,MT,,4.85,4.9,4.883,4.883,4.639,4.883,4.92,4.998,5.017,5.165,5.312,5.46,5.608,5.756,5.623,5.763,6.208,6.5,7.205,6.574,7.843,8.165,0.0,100.0,101.0,100.7,100.7,95.6,100.7,101.4,103.1,103.4,106.5,109.5,112.6,115.6,118.7,115.9,118.8,128.0,134.0,148.6,135.5
Dakhla,Villa,GT,,6.516,6.842,6.431,5.917,6.199,6.433,6.941,6.984,7.019,7.152,7.287,7.421,7.555,7.69,7.593,7.783,7.9,8.4,9.3,8.452,17.947,21.201,0.0,100.0,105.0,98.7,90.8,95.1,98.7,106.5,107.2,107.7,109.8,111.8,113.9,115.9,118.0,116.5,119.4,121.2,128.9,142.7,129.7
Dakhla,Appartement standing,PT,,1.659,1.56,1.451,1.364,1.363,1.47,1.562,1.646,1.728,1.766,1.805,1.843,1.882,1.908,1.786,1.755,1.875,1.989,1.916,1.796,1.982,2.067,0.0,100.0,94.0,87.5,82.2,82.2,88.6,94.1,99.2,104.1,106.4,108.8,111.1,113.4,115.0,107.7,105.8,113.0,119.9,115.5,108.3
Dakhla,Appartement standing,MT,,1.953,1.836,1.707,1.605,1.585,1.712,1.838,1.941,2.02,2.068,2.116,2.163,2.211,2.259,2.1,2.064,2.266,2.39,2.711,2.205,2.523,2.603,0.0,100.0,94.0,87.4,82.2,81.2,87.7,94.1,99.4,103.4,105.9,108.3,110.8,113.2,115.7,107.5,105.7,116.0,122.4,138.8,112.9
Dakhla,Appartement standing,GT,,2.721,2.558,2.378,2.336,2.445,2.546,2.56,2.663,2.729,2.805,2.882,2.958,3.035,3.124,2.893,2.843,2.806,2.99,3.269,2.958,3.195,3.314,0.0,100.0,94.0,87.4,85.9,89.9,93.6,94.1,97.9,100.3,103.1,105.9,108.7,111.5,114.8,106.3,104.5,103.1,109.9,120.1,108.7
Dakhla,Appartement économique,PT,,888.0,950.0,962.0,914.0,934.0,1.0,1.072,1.122,1.197,1.219,1.242,1.265,1.287,1.31,1.214,1.242,1.365,1.401,1.587,1.327,1.423,1.678,0.0,100.0,107.0,108.3,102.9,105.2,112.6,120.7,126.4,134.7,137.3,139.9,142.5,144.9,147.5,136.7,139.9,153.7,157.8,178.7,149.4
Dakhla,Appartement économique,MT,,1.451,1.404,1.326,1.398,1.407,1.5,1.6,1.641,1.691,1.728,1.766,1.804,1.842,1.86,1.75,1.789,1.88,1.845,2.026,1.966,2.231,2.343,0.0,100.0,96.8,91.4,96.3,97.0,103.4,110.3,113.1,116.5,119.1,121.7,124.3,126.9,128.2,120.6,123.3,129.6,127.2,139.6,135.5
Dakhla,Appartement économique,GT,,1.885,1.875,1.918,2.056,2.132,2.177,2.254,2.292,2.344,2.402,2.46,2.518,2.576,2.654,2.452,2.507,2.398,2.496,2.564,2.348,2.647,2.71,0.0,100.0,99.5,101.7,109.1,113.1,115.5,119.6,121.6,124.3,127.4,130.5,133.6,136.7,140.8,130.1,133.0,127.2,132.4,136.0,124.5
Dakhla,Maison sur lot économique,PT,,900.0,950.0,944.0,992.0,933.0,974.0,965.0,1.009,1.062,1.057,1.054,1.05,1.047,1.053,979.0,973.0,1.023,1.084,1.207,1.15,1.275,1.309,0.0,100.0,105.6,104.9,110.2,103.7,108.2,107.2,112.1,117.9,117.4,117.1,116.7,116.3,117.0,108.8,108.1,113.7,120.4,134.1,127.8
