Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Guelmim,Villa,PT,,3.777,3.754,3.927,3.864,3.798,3.747,3.645,3.786,3.975,4.095,4.191,4.287,4.348,4.556,4.791,4.799,4.815,4.878,4.925,4.71,4.797,4.861,,100.0,99.4,104.0,102.3,100.6,99.2,96.5,100.2,105.2,108.4,111.0,113.5,115.1,120.6,126.9,127.1,127.5,129.1,130.4,124.7
Guelmim,Villa,MT,,6.498,6.459,6.297,6.149,6.034,5.908,5.868,6.027,6.321,6.295,6.363,6.423,6.454,6.728,6.682,6.7,6.74,6.795,6.855,6.66,6.907,7.133,,100.0,99.4,96.9,94.6,92.9,90.9,90.3,92.7,97.3,96.9,97.9,98.8,99.3,103.5,102.8,103.1,103.7,104.6,105.5,102.5
Guelmim,Villa,GT,,7.848,7.801,8.161,7.991,7.651,7.294,7.428,7.472,7.906,7.991,8.086,8.139,8.19,8.161,8.375,8.39,8.411,8.47,8.518,8.397,8.475,8.53,,100.0,99.4,104.0,101.8,97.5,92.9,94.6,95.2,100.7,101.8,103.0,103.7,104.4,104.0,106.7,106.9,107.2,107.9,108.5,107.0
Guelmim,Appartement standing,PT,,1.154,1.147,1.2,1.2,1.149,1.122,1.166,1.182,1.222,1.234,1.26,1.293,1.315,1.35,1.425,1.45,1.465,1.495,1.53,1.495,1.545,1.611,,100.0,99.4,104.0,104.0,99.6,97.2,101.0,102.4,105.9,106.9,109.2,112.0,113.9,117.0,123.5,125.6,126.9,129.5,132.6,129.5
Guelmim,Appartement standing,MT,,2.141,2.126,2.057,1.976,2.036,2.08,2.01,1.977,1.945,2.019,2.001,2.017,2.041,2.057,2.105,2.135,2.146,2.2,2.255,2.15,2.179,2.246,,100.0,99.3,96.1,92.3,95.1,97.2,93.9,92.3,90.9,94.3,93.5,94.2,95.3,96.1,98.3,99.7,100.3,102.8,105.3,100.4
Guelmim,Appartement standing,GT,,2.576,2.557,2.451,2.374,2.305,2.261,2.282,2.287,2.252,2.263,2.272,2.304,2.332,2.381,2.395,2.423,2.423,2.471,2.484,2.388,2.441,2.463,,100.0,99.3,95.1,92.1,89.5,87.8,88.6,88.8,87.4,87.8,88.2,89.4,90.5,92.4,93.0,94.0,94.0,95.9,96.4,92.7
Guelmim,Appartement économique,PT,,617.0,649.0,701.0,750.0,779.0,800.0,751.0,786.0,822.0,839.0,836.0,859.0,876.0,950.0,1.0,1.0,1.05,1.075,1.125,1.092,1.102,1.115,,100.0,105.2,113.6,121.6,126.3,129.7,121.8,127.4,133.3,135.9,135.4,139.2,142.0,154.0,162.1,162.1,170.2,174.2,182.3,177.0
Guelmim,Appartement économique,MT,,1.003,950.0,1.004,1.071,1.09,1.1,1.037,1.096,1.17,1.265,1.276,1.29,1.298,1.31,1.35,1.37,1.385,1.4,1.435,1.445,1.457,1.468,,100.0,94.7,100.1,106.8,108.7,109.7,103.4,109.2,116.7,126.1,127.2,128.6,129.4,130.6,134.6,136.6,138.1,139.6,143.1,144.1
Guelmim,Appartement économique,GT,,1.4,1.375,1.35,1.35,1.35,1.35,1.305,1.368,1.446,1.482,1.487,1.51,1.515,1.625,1.64,1.655,1.655,1.67,1.69,1.664,1.679,1.705,,100.0,98.2,96.4,96.4,96.4,96.4,93.2,97.7,103.3,105.8,106.2,107.9,108.2,116.1,117.1,118.2,118.2,119.3,120.7,118.9
Guelmim,Maison sur lot économique,PT,,610.0,596.0,608.0,609.0,648.0,661.0,657.0,697.0,744.0,781.0,807.0,825.0,836.0,871.0,904.0,930.0,943.0,949.0,960.0,981.0,983.0,1.005,,100.0,97.7,99.6,99.8,106.2,108.2,107.7,114.2,121.9,128.0,132.2,135.2,137.0,142.6,148.1,152.3,154.5,155.5,157.3,160.7
Guelmim,Maison sur lot économique,MT,,923.0,964.0,925.0,858.0,815.0,821.0,839.0,908.0,980.0,1.019,1.003,1.003,1.025,1.12,1.225,1.23,1.235,1.245,1.275,1.309,1.312,1.334,,100.0,104.4,100.2,92.9,88.2,88.9,90.9,98.3,106.2,110.4,108.7,108.7,111.1,121.3,132.7,133.3,133.8,134.9,138.1,141.8
Guelmim,Maison sur lot économique,GT,,1.1,1.175,1.088,1.008,1.0,1.01,1.019,1.068,1.119,1.171,1.2,1.219,1.288,1.41,1.43,1.445,1.455,1.473,1.5,1.508,1.532,1.543,,100.0,106.8,99.0,91.7,90.9,91.8,92.6,97.1,101.7,106.5,109.0,110.8,117.0,128.2,130.0,131.4,132.3,133.9,136.4,137.1
Tan Tan,Villa,PT,,3.679,3.656,3.679,3.738,3.802,3.751,3.853,3.887,3.925,3.965,4.019,4.071,4.129,4.161,4.21,4.298,4.383,4.478,4.558,4.5,4.529,4.643,,100.0,99.4,100.0,101.6,103.3,102.0,104.8,105.7,106.7,107.8,109.3,110.7,112.2,113.1,114.4,116.8,119.1,121.7,123.9,122.3
Tan Tan,Villa,MT,,5.864,5.828,5.974,5.834,5.724,5.662,5.756,5.912,6.083,6.058,6.123,6.18,6.211,6.288,6.245,6.317,6.38,6.478,6.523,6.4,6.5,6.7,,100.0,99.4,101.9,99.5,97.6,96.6,98.2,100.8,103.7,103.3,104.4,105.4,105.9,107.2,106.5,107.7,108.8,110.5,111.2,109.1
Tan Tan,Villa,GT,,7.276,7.232,7.349,7.269,7.178,7.13,7.261,7.377,7.437,7.516,7.606,7.656,7.704,7.676,7.878,7.95,8.009,8.123,8.154,8.1,8.15,8.3,,100.0,99.4,101.0,99.9,98.7,98.0,99.8,101.4,102.2,103.3,104.5,105.2,105.9,105.5,108.3,109.3,110.1,111.6,112.1,111.3
Tan Tan,Appartement standing,PT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tan Tan,Appartement standing,MT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tan Tan,Appartement standing,GT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tan Tan,Appartement économique,PT,,492.0,500.0,510.0,522.0,533.0,541.0,536.0,548.0,561.0,572.0,570.0,574.0,586.0,600.0,608.0,645.0,680.0,724.0,755.0,748.0,768.0,802.0,,100.0,101.6,103.6,106.2,108.3,110.1,108.9,111.4,114.0,116.3,115.9,116.8,119.1,122.0,123.6,131.2,138.3,147.3,153.5,152.1
Tan Tan,Appartement économique,MT,,782.0,777.0,783.0,794.0,808.0,815.0,808.0,815.0,826.0,844.0,851.0,860.0,866.0,874.0,883.0,915.0,944.0,984.0,1.008,994.0,1.014,1.049,,100.0,99.4,100.2,101.5,103.3,104.3,103.4,104.2,105.7,107.9,108.9,110.1,110.7,111.8,112.9,117.0,120.8,125.9,128.9,127.1
Tan Tan,Appartement économique,GT,,1.104,1.084,1.065,1.065,1.065,1.065,1.05,1.076,1.096,1.122,1.126,1.144,1.148,1.162,1.173,1.213,1.252,1.298,1.333,1.328,1.35,1.387,,100.0,98.2,96.4,96.4,96.4,96.4,95.1,97.4,99.2,101.7,102.0,103.6,104.0,105.3,106.2,109.9,113.4,117.6,120.7,120.3
Tan Tan,Maison sur lot économique,PT,,605.0,613.0,607.0,609.0,617.0,605.0,596.0,602.0,616.0,635.0,643.0,658.0,666.0,674.0,693.0,739.0,783.0,837.0,875.0,853.0,862.0,903.0,,100.0,101.3,100.4,100.6,102.0,100.0,98.5,99.5,101.9,104.9,106.3,108.7,110.1,111.4,114.6,122.2,129.4,138.4,144.7,141.0
Tan Tan,Maison sur lot économique,MT,,978.0,1.002,982.0,960.0,949.0,957.0,978.0,989.0,1.008,1.028,1.012,1.012,1.034,1.047,1.072,1.11,1.148,1.183,1.223,1.194,1.203,1.244,,100.0,102.4,100.3,98.1,97.0,97.8,99.9,101.0,103.0,105.1,103.4,103.4,105.7,107.0,109.6,113.4,117.3,120.9,125.0,122.0
