Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Laâyoune,Villa,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,107.4,111.7,113.5,117.4,122.4,125.2,128.4,131.0,134.5,141.2,137.6,141.5,143.7,144.4,144.4,143.8,144.8,145.6,144.7
Laâyoune,Villa,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.9,105.8,108.7,112.9,115.8,118.7,121.6,124.5,127.4,130.2,124.0,127.0,128.4,131.0,132.8,132.9,133.9,134.9,132.1
Laâyoune,Villa,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.4,106.4,109.1,111.7,111.7,112.3,113.2,116.0,118.5,120.4,115.7,117.7,121.5,121.3,121.2,122.6,123.2,124.3,124.3
Laâyoune,Appartement standing,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.3,103.9,107.6,107.8,107.8,115.9,119.5,126.7,136.7,149.4,149.9,151.3,154.0,158.3,164.2,168.3,171.4,179.9,180.6
Laâyoune,Appartement standing,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.6,105.8,108.0,113.4,116.0,122.1,128.3,135.1,144.4,152.3,153.1,153.8,157.4,160.4,163.8,167.5,169.2,171.6,171.8
Laâyoune,Appartement standing,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.5,105.4,107.7,110.3,113.0,115.7,118.4,122.6,128.2,130.9,132.8,135.7,138.2,139.8,141.3,142.1,143.6,146.9,147.0
Laâyoune,Appartement économique,PT,,638.0,670.0,732.0,802.0,837.0,850.0,917.0,972.0,,,,,,,,,,,,,,,,100.0,105.0,114.8,125.7,131.1,133.2,143.7,152.4,163.7,173.9,181.8,182.4,188.9,195.2,200.4,204.3,208.0,209.8,215.6,215.4
Laâyoune,Appartement économique,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.2,106.3,112.3,115.2,118.2,124.7,127.6,132.4,137.1,140.0,141.9,145.6,149.2,151.9,153.8,155.9,157.1,160.1,157.8
Laâyoune,Appartement économique,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.1,108.6,115.0,119.1,121.0,126.1,129.9,136.1,144.4,150.3,151.3,154.4,158.8,161.7,163.7,164.8,166.5,169.4,169.6
Laâyoune,Maison sur lot économique,PT,,633.0,650.0,656.0,653.0,595.0,586.0,640.0,704.0,755.0,823.0,903.0,943.0,983.0,,,,,,,,,,,100.0,102.7,103.6,103.1,94.1,92.6,101.1,111.2,119.3,130.0,142.6,149.0,155.4,160.0,164.5,166.9,170.7,174.2,184.3,184.5
Laâyoune,Maison sur lot économique,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.4,107.6,113.5,116.5,119.5,130.9,135.5,143.5,148.2,151.2,156.3,162.0,167.1,170.5,171.9,174.9,175.7,179.3,179.5
Laâyoune,Maison sur lot économique,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.5,105.5,111.9,115.0,119.8,121.4,125.0,130.4,140.7,145.6,146.7,149.8,153.5,156.0,158.2,159.3,160.4,164.1,164.0
