Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Marrakech,Villa,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,106.4,109.4,118.9,139.6,168.3,185.8,195.5,202.9,201.6,209.1,205.6,207.5,209.0,214.6,214.8,214.6,211.3,214.0,212.2
Marrakech,Villa,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,112.6,120.5,125.1,128.8,139.4,156.4,162.8,168.7,170.0,172.8,183.8,187.9,191.2,195.8,196.8,196.6,199.5,201.3,196.7
Marrakech,Villa,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.0,106.5,123.6,134.9,152.4,178.7,197.6,210.2,208.0,218.0,210.0,205.9,208.9,210.4,211.8,213.0,215.4,216.7,213.1
Marrakech,Appartement standing,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,104.2,108.7,113.2,117.3,122.8,127.2,135.1,147.2,154.0,157.7,156.4,159.6,163.5,169.3,173.2,175.5,180.2,185.6,184.6
Marrakech,Appartement standing,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,111.2,119.3,127.5,133.5,138.2,147.8,154.7,162.5,180.5,188.7,182.9,182.6,189.5,196.4,199.8,200.9,203.9,207.3,201.0
Marrakech,Appartement standing,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,109.9,113.7,121.3,131.7,143.1,151.1,158.3,166.6,170.9,172.9,165.3,161.3,161.9,164.9,166.3,166.8,172.2,175.6,173.6
Marrakech,Appartement économique,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,105.4,112.9,120.5,128.9,132.4,137.0,141.5,145.2,156.8,167.3,167.9,170.6,172.5,176.7,177.3,178.6,184.0,191.1,190.6
Marrakech,Appartement économique,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,108.0,113.7,119.7,125.7,131.6,137.5,143.5,149.4,163.4,174.4,183.0,186.4,189.9,195.4,198.1,199.5,201.2,206.1,204.6
Marrakech,Appartement économique,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.6,107.7,111.0,114.5,118.0,121.3,124.2,128.1,136.6,141.2,148.1,146.3,146.5,150.3,152.5,153.7,156.2,160.5,159.9
Marrakech,Maison sur lot économique,PT,,875.0,938.0,,,,,,,,,,,,,,,,,,,,,,100.0,107.1,115.7,124.4,130.5,136.8,143.8,152.2,158.7,167.1,175.3,175.7,178.9,184.6,189.9,191.3,193.4,200.0,208.7,206.2
Marrakech,Maison sur lot économique,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.9,109.9,118.7,126.6,132.2,136.6,145.3,153.8,160.8,168.9,178.7,183.9,188.5,196.7,198.5,199.8,204.1,209.0,205.3
Marrakech,Maison sur lot économique,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,104.2,111.6,117.3,123.1,126.8,130.2,135.4,140.5,151.4,158.4,164.4,165.7,165.0,169.2,170.9,172.1,176.7,182.5,180.7
Safi,Villa,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,112.2,116.0,120.8,120.8,122.5,124.0,131.0,139.5,144.8,149.2,146.3,152.1,169.9,170.7,168.9,168.9,172.3,176.7,167.0
Safi,Villa,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,112.7,113.4,113.5,117.3,112.5,113.9,117.8,122.5,126.4,129.8,132.7,137.9,144.9,144.8,143.8,143.3,146.5,148.4,144.6
Safi,Villa,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,94.5,110.0,124.4,142.2,157.9,169.1,170.5,171.8,170.1,166.3,161.7,170.0,168.5,164.3,161.4,160.6,161.7,163.3,153.1
Safi,Appartement standing,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.8,102.6,103.3,110.9,105.8,103.7,108.1,113.9,116.2,119.1,114.7,121.0,128.5,129.1,128.6,130.4,133.8,136.0,126.9
Safi,Appartement standing,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.6,107.7,114.0,126.6,132.9,137.4,143.2,150.4,153.6,160.1,161.4,169.5,165.1,168.1,169.7,170.5,173.3,176.2,174.7
Safi,Appartement standing,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,107.3,108.3,112.5,118.8,125.1,131.8,136.4,138.9,145.5,147.3,156.3,166.0,163.3,163.3,164.2,170.6,173.4,171.3
Safi,Appartement économique,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,96.2,96.6,102.0,95.8,95.8,106.1,115.3,123.7,129.1,126.3,129.1,131.4,136.4,139.4,139.8,140.8,143.1,146.6,139.4
Safi,Appartement économique,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,105.8,97.1,111.1,114.4,113.0,123.1,132.5,143.2,154.0,156.1,159.0,169.1,193.1,197.5,197.2,198.9,198.6,201.8,191.2
Safi,Appartement économique,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.7,101.6,107.8,112.7,124.3,134.9,140.9,144.9,148.4,150.4,151.7,166.2,167.6,166.7,165.8,166.0,169.8,173.1,166.4
Safi,Maison sur lot économique,PT,,950.0,,963.0,932.0,958.0,901.0,976.0,952.0,,,,,,,,,,,,,,,,100.0,106.8,101.3,98.1,100.8,94.8,102.7,100.2,110.5,117.0,123.4,125.9,131.6,149.2,151.7,153.2,154.7,158.3,162.5,154.1
Safi,Maison sur lot économique,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,111.2,105.9,104.7,108.0,107.1,107.8,115.9,124.2,129.5,135.8,138.4,142.9,145.7,148.0,149.0,149.3,151.5,155.3,154.0
Safi,Maison sur lot économique,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,107.2,103.5,109.7,118.7,127.7,131.8,135.8,143.0,151.2,160.9,164.5,172.7,179.2,179.3,179.4,179.5,183.4,188.2,187.1
Essaouira,Villa,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,109.0,116.8,124.2,135.2,142.8,147.9,152.9,159.2,161.7,167.2,164.2,167.3,173.4,176.2,175.3,175.7,179.5,182.7,180.8
Essaouira,Villa,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,109.0,117.6,128.0,137.9,139.5,143.3,148.7,154.3,157.4,160.8,166.1,169.5,173.7,175.7,175.5,175.0,176.7,178.6,178.3
Essaouira,Villa,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.7,109.9,117.3,123.2,128.2,136.8,144.6,149.7,155.9,162.7,169.9,176.0,183.0,188.3,187.3,187.1,187.2,188.6,188.3
Essaouira,Appartement économique,PT,,688.0,703.0,731.0,758.0,786.0,804.0,836.0,869.0,912.0,968.0,,,,,,,,,,,,,,100.0,102.3,106.3,110.3,114.3,116.9,121.6,126.3,132.6,140.7,148.0,154.1,160.1,166.8,172.4,176.7,178.7,183.7,189.6,186.2
Essaouira,Appartement économique,MT,,895.0,940.0,976.0,933.0,972.0,987.0,,,,,,,,,,,,,,,,,,100.0,105.0,109.0,104.2,108.5,110.2,114.7,121.6,129.0,137.3,142.8,147.7,153.7,164.2,167.0,168.0,169.4,174.1,177.8,176.3
Essaouira,Appartement économique,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.1,105.3,103.8,107.0,108.7,113.6,117.5,121.1,126.5,129.5,133.2,138.7,144.9,146.4,147.1,147.7,149.9,152.4,151.3
Essaouira,Maison sur lot économique,PT,,632.0,661.0,673.0,691.0,696.0,730.0,765.0,805.0,847.0,894.0,940.0,951.0,981.0,,,,,,,,,,,100.0,104.7,106.5,109.3,110.2,115.5,121.1,127.4,134.1,141.6,148.9,150.6,155.3,163.3,165.6,166.9,169.5,177.6,184.1,181.9
Essaouira,Maison sur lot économique,MT,,844.0,891.0,905.0,923.0,914.0,946.0,988.0,,,,,,,,,,,,,,,,,100.0,105.5,107.2,109.3,108.3,112.1,117.0,125.1,133.3,139.1,146.0,151.7,156.3,159.8,164.6,165.9,167.5,171.7,176.1,173.9
Essaouira,Maison sur lot économique,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.9,106.4,104.8,104.3,107.5,111.9,115.8,121.1,126.8,133.8,137.8,141.8,144.2,146.1,146.8,147.9,151.7,156.0,156.3
El Kelaâ des Sraghna,Villa,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,109.6,112.2,120.1,130.0,142.3,152.2,159.4,164.6,162.8,168.0,164.3,165.0,165.4,169.0,168.3,168.5,173.3,179.2,179.0
El Kelaâ des Sraghna,Villa,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,107.7,114.4,121.8,124.8,129.4,135.4,140.3,144.6,145.0,146.7,155.3,157.9,159.9,163.0,162.9,161.8,164.0,165.6,164.0
El Kelaâ des Sraghna,Villa,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.5,106.5,114.3,122.8,131.3,142.7,149.3,154.4,159.2,166.0,159.1,155.3,156.7,157.1,157.4,157.2,157.6,158.3,157.4
El Kelaâ des Sraghna,Appartement standing,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,104.3,108.8,113.2,117.3,122.8,127.2,135.1,144.4,151.1,154.8,153.5,156.6,160.4,166.2,170.0,172.5,178.1,182.9,179.2
El Kelaâ des Sraghna,Appartement standing,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,108.1,115.9,123.9,129.8,134.4,142.3,149.0,156.4,169.7,174.9,171.3,171.1,177.6,184.0,187.2,187.4,190.1,192.2,191.9
El Kelaâ des Sraghna,Appartement standing,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,108.4,112.2,119.7,127.5,137.2,144.8,151.7,159.7,163.9,165.7,158.5,154.6,155.2,158.1,159.4,159.6,159.6,159.6,159.2
El Kelaâ des Sraghna,Appartement économique,PT,,619.0,652.0,699.0,746.0,788.0,809.0,838.0,866.0,889.0,955.0,,,,,,,,,,,,,,100.0,105.3,112.8,120.5,127.2,130.7,135.4,139.8,143.5,154.3,164.1,165.4,168.9,170.8,175.0,175.5,177.7,183.3,189.3,186.9
El Kelaâ des Sraghna,Appartement économique,MT,,777.0,821.0,863.0,866.0,909.0,952.0,995.0,,,,,,,,,,,,,,,,,100.0,105.7,111.0,111.5,117.0,122.5,128.0,133.5,139.1,150.0,159.3,167.1,170.3,173.4,178.5,180.9,182.2,186.0,189.4,186.9
El Kelaâ des Sraghna,Appartement économique,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.6,107.7,111.1,114.4,118.0,121.3,124.2,128.1,136.6,141.2,148.1,146.3,146.5,150.3,152.5,154.4,159.4,164.5,162.7
El Kelaâ des Sraghna,Maison sur lot économique,PT,,558.0,596.0,636.0,657.0,689.0,722.0,760.0,804.0,838.0,882.0,926.0,928.0,945.0,975.0,,,,,,,,,,100.0,106.7,114.0,117.7,123.5,129.4,136.1,144.0,150.1,158.1,165.9,166.2,169.3,174.7,179.7,180.9,184.1,191.7,199.2,198.2
El Kelaâ des Sraghna,Maison sur lot économique,MT,,736.0,771.0,811.0,832.0,888.0,926.0,958.0,,,,,,,,,,,,,,,,,100.0,104.8,110.1,113.0,120.6,125.8,130.1,138.3,146.5,153.1,160.8,170.0,175.1,179.4,187.2,189.0,191.2,197.8,203.8,201.7
El Kelaâ des Sraghna,Maison sur lot économique,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,105.1,110.3,112.8,118.4,121.9,125.2,130.2,135.1,145.5,152.3,158.0,159.3,158.6,162.7,164.3,166.1,169.9,174.5,172.3
Ben Guérir,Villa,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,109.4,111.9,119.7,129.5,141.6,151.3,158.4,163.4,165.3,170.5,174.3,174.9,175.2,178.9,179.8,180.0,185.3,191.2,191.3
Ben Guérir,Villa,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,107.7,114.4,121.9,125.0,129.7,135.7,140.6,145.0,145.4,148.3,157.0,159.7,161.8,164.9,165.2,166.3,168.2,169.7,167.7
Ben Guérir,Villa,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.6,106.6,114.4,122.9,131.4,142.9,149.5,154.7,159.6,166.5,173.4,177.5,179.2,179.7,180.0,180.7,181.0,181.6,177.2
Ben Guérir,Appartement standing,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.0,106.7,109.3,115.2,118.4,121.7,128.1,135.9,140.4,145.3,150.0,155.6,162.3,168.8,185.4,191.8,197.4,201.7,192.9
Ben Guérir,Appartement standing,MT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,105.3,111.8,118.9,128.3,133.7,139.9,146.2,153.6,161.7,169.2,179.7,184.2,195.1,200.4,203.1,208.7,211.9,214.9,213.8
Ben Guérir,Appartement standing,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,104.2,109.8,114.0,119.9,127.8,134.8,141.6,147.8,151.1,155.5,157.9,160.8,166.1,166.3,167.0,167.5,170.8,172.2,171.0
Ben Guérir,Appartement économique,PT,,617.0,650.0,697.0,744.0,796.0,817.0,846.0,874.0,896.0,962.0,,,,,,,,,,,,,,100.0,105.3,112.9,120.6,128.9,132.4,137.0,141.6,145.2,155.9,165.7,166.3,169.0,170.9,175.0,175.6,177.8,184.1,190.5,194.9
Ben Guérir,Appartement économique,MT,,765.0,809.0,850.0,864.0,907.0,949.0,992.0,,,,,,,,,,,,,,,,,100.0,105.7,111.1,112.9,118.5,124.1,129.6,135.2,140.8,151.9,161.3,169.3,172.4,175.6,180.7,183.1,184.9,190.6,196.1,198.5
Ben Guérir,Appartement économique,GT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.6,107.7,111.1,114.5,118.0,121.3,124.2,128.2,136.6,141.2,148.1,146.3,146.4,150.3,152.5,154.0,157.0,159.5,163.7
Ben Guérir,Maison sur lot économique,PT,,514.0,548.0,585.0,602.0,631.0,662.0,696.0,736.0,768.0,808.0,848.0,850.0,865.0,893.0,918.0,925.0,943.0,992.0,,,,,,100.0,106.7,113.8,117.1,122.9,128.8,135.4,143.3,149.5,157.4,165.0,165.4,168.5,173.9,178.8,180.0,183.5,193.1,201.7,203.9
Ben Guérir,Maison sur lot économique,MT,,684.0,721.0,757.0,785.0,837.0,874.0,904.0,961.0,,,,,,,,,,,,,,,,100.0,105.4,110.7,114.9,122.5,127.9,132.2,140.5,148.8,155.4,163.4,172.8,177.8,182.4,190.2,192.0,194.3,201.2,207.9,210.3
Ben Guérir,Maison sur lot économique,GT,,972.0,,,,,,,,,,,,,,,,,,,,,,,100.0,105.8,111.9,114.5,120.3,123.8,127.2,132.3,137.2,147.9,154.7,160.5,161.8,161.1,165.3,166.9,168.8,172.6,177.4,178.9
Youssoufia,Villa,PT,,,,,,,,,,,,,,,,,,,,,,,,,100.0,109.2,111.6,119.3,128.9,140.9,150.5,157.4,162.3,160.3,165.1,161.3,161.7,161.9,165.1,164.2,164.3,169.3,174.3,174.7
