Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Agadir,Villa,PT,,3.049,3.352,3.686,3.934,4.117,4.004,4.247,4.177,4.136,4.267,4.505,4.465,4.695,4.787,4.974,5.116,5.212,5.277,,,,5.34,0.0,100.0,109.9,120.9,129.0,135.1,131.3,139.3,137.0,135.7,140.0,147.8,146.5,154.0,157.0,163.2,167.8,171.0,,,
Agadir,Villa,MT,,5.614,5.872,5.852,6.415,6.988,7.673,8.227,8.95,8.52,8.812,8.82,8.62,8.761,8.812,9.044,9.163,9.188,9.247,,,,9.152,0.0,100.0,104.6,104.2,114.3,124.5,136.7,146.5,159.4,151.8,157.0,157.1,153.5,156.1,157.0,161.1,163.2,163.7,,,
Agadir,Villa,GT,,9.43,10.004,9.681,9.597,10.416,10.82,11.846,11.959,11.36,11.452,11.734,12.37,12.585,12.468,12.694,12.701,12.704,12.767,,,,12.69,0.0,100.0,106.1,102.7,101.8,110.5,114.7,125.6,126.8,120.5,121.4,124.4,131.2,133.5,132.2,134.6,134.7,134.7,,,
Agadir,Appartement standing,PT,,1.579,1.67,1.75,1.871,2.052,2.119,2.053,2.074,2.266,2.286,2.361,2.416,2.494,2.655,2.813,2.962,3.005,3.045,,,,3.083,0.0,100.0,105.8,110.8,118.4,129.9,134.2,130.0,131.3,143.5,144.7,149.5,153.0,157.9,168.1,178.1,187.5,190.2,,,
Agadir,Appartement standing,MT,,2.741,2.725,2.969,3.198,3.391,3.32,3.155,3.281,3.221,3.295,3.353,3.449,3.616,3.699,3.824,3.987,4.031,4.089,,,,4.159,0.0,100.0,99.4,108.3,116.7,123.7,121.2,115.1,119.7,117.5,120.2,122.3,125.8,131.9,135.0,139.5,145.5,147.1,,,
Agadir,Appartement standing,GT,,3.092,3.381,3.646,3.884,3.819,3.926,3.931,3.97,4.176,4.261,4.355,4.303,4.464,4.531,4.678,4.817,4.854,4.881,,,,5.013,0.0,100.0,109.3,117.9,125.6,123.5,127.0,127.1,128.4,135.0,137.8,140.8,139.2,144.4,146.5,151.3,155.8,157.0,,,
Agadir,Appartement économique,PT,,1.33,1.314,1.346,1.308,1.222,1.29,1.336,1.368,1.414,1.478,1.608,1.601,1.633,1.677,1.668,1.655,1.687,1.714,,,,1.715,0.0,100.0,98.8,101.2,98.4,91.9,97.0,100.5,102.9,106.4,111.1,121.0,120.4,122.8,126.1,125.4,124.5,126.9,,,
Agadir,Appartement économique,MT,,1.89,2.073,2.057,2.068,2.046,2.108,2.144,2.179,2.215,2.279,2.344,2.334,2.389,2.441,2.46,2.457,2.493,2.512,,,,2.493,0.0,100.0,109.7,108.8,109.4,108.2,111.5,113.4,115.3,117.2,120.5,124.0,123.5,126.4,129.1,130.1,130.0,131.9,,,
Agadir,Appartement économique,GT,,2.066,2.27,2.362,2.444,2.469,2.442,2.464,2.519,2.694,2.757,2.78,2.802,2.889,2.903,2.901,2.92,2.936,2.945,,,,3.031,0.0,100.0,109.9,114.3,118.3,119.5,118.2,119.3,121.9,130.4,133.4,134.5,135.6,139.8,140.5,140.4,141.3,142.1,,,
Agadir,Maison sur lot économique,PT,,1.293,1.246,1.126,1.092,1.0,933.0,997.0,1.082,1.173,1.29,1.392,1.408,1.434,1.477,1.492,1.489,1.504,1.518,,,,1.526,0.0,100.0,96.4,87.1,84.5,77.3,72.2,77.1,83.6,90.7,99.8,107.6,108.9,110.9,114.2,115.4,115.1,116.3,,,
