Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Tanger,Villa,PT,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.5,109.3,101.6,99.5,106.0,105.9,108.1,102.8,101.2,99.6,98.5,101.2,102.2,104.0,104.8,105.8,106.3,106.9,108.9,109.0
Tanger,Villa,MT,,,,,,,,,,,,,,,,,,,,,,,,100.0,96.7,100.2,99.1,89.9,90.3,88.4,93.4,92.2,99.8,101.0,100.0,100.5,101.4,102.1,102.7,104.3,105.8,107.6,104.6,104.4
Tanger,Villa,GT,,,,,,,,,,,,,,,,,,,,,,,,100.0,105.8,110.0,120.0,111.0,112.3,108.9,113.2,119.0,128.2,131.7,131.4,130.9,131.0,131.9,132.7,134.9,136.5,139.1,139.4,139.3
Tanger,Appartement standing,PT,,,,,,,,,,,,,,,,,,,,,,,,100.0,106.3,116.6,111.8,110.1,111.9,115.2,112.2,107.5,112.4,118.8,120.3,124.6,128.3,132.2,136.6,141.3,144.3,148.1,142.6,150.1
Tanger,Appartement standing,MT,,,,,,,,,,,,,,,,,,,,,,,,100.0,97.4,105.0,105.7,112.3,119.7,124.2,127.2,116.5,118.5,125.0,129.0,128.5,133.3,136.0,139.0,143.0,145.8,148.3,142.3,147.7
Tanger,Appartement standing,GT,,,,,,,,,,,,,,,,,,,,,,,,100.0,109.5,120.4,131.9,142.1,138.4,143.6,150.0,150.2,155.0,160.4,164.1,156.5,157.2,161.6,163.5,166.8,168.6,171.4,162.5,170.1
Tanger,Appartement économique,PT,,,,,,,,,,,,,,,,,,,,,,,,100.0,109.8,117.1,125.5,133.6,137.2,141.3,147.1,157.5,168.4,169.3,172.8,179.7,182.4,187.3,189.1,191.1,193.6,195.4,197.4,200.9
Tanger,Appartement économique,MT,,,,,,,,,,,,,,,,,,,,,,,,100.0,109.3,118.1,129.3,142.1,155.3,168.8,175.1,162.7,174.1,178.3,186.2,194.1,199.4,206.0,210.6,213.7,216.0,217.4,209.0,215.4
Tanger,Appartement économique,GT,,,,,,,,,,,,,,,,,,,,,,,,100.0,105.3,115.6,125.8,137.4,143.8,152.0,156.3,165.9,172.9,172.5,175.2,181.5,184.3,188.9,188.4,188.7,190.4,190.1,191.2,193.5
Tanger,Maison sur lot économique,PT,,,,,,,,,,,,,,,,,,,,,,,,100.0,104.8,112.4,119.0,113.2,116.0,120.9,129.9,133.5,140.9,141.3,144.5,153.3,158.9,166.1,169.4,173.5,176.8,179.1,172.5,173.4
Tanger,Maison sur lot économique,MT,,,,,,,,,,,,,,,,,,,,,,,,100.0,106.7,115.4,117.0,120.5,125.9,132.2,137.3,140.9,151.7,157.9,163.2,170.3,175.2,181.2,184.4,189.1,193.3,197.1,199.0,200.3
Tanger,Maison sur lot économique,GT,,,,,,,,,,,,,,,,,,,,,,,,100.0,107.6,117.8,128.6,135.8,139.3,140.9,146.0,138.9,148.4,153.2,154.9,155.8,159.9,162.4,163.7,165.8,167.7,168.6,170.8,172.6
Fahs Anjra,Maison sur lot économique,PT,,698.0,728.0,772.0,813.0,787.0,809.0,834.0,881.0,906.0,955.0,970.0,993.0,,,,,,,,,,,100.0,104.4,110.5,116.5,112.7,115.9,119.5,126.3,129.8,136.8,139.0,142.2,149.9,155.6,162.0,165.1,169.0,172.1,174.0,168.9,170.9
Fahs Anjra,Maison sur lot économique,MT,,751.0,792.0,832.0,837.0,860.0,893.0,933.0,975.0,994.0,,,,,,,,,,,,,,100.0,105.4,110.7,111.4,114.5,118.9,124.2,129.7,132.3,141.2,147.4,152.3,158.5,163.4,169.0,172.2,176.4,180.2,183.4,182.4,185.5
Fahs Anjra,Maison sur lot économique,GT,,,,,,,,,,,,,,,,,,,,,,,,100.0,106.8,115.6,124.8,131.3,134.3,135.8,140.7,136.4,144.3,148.1,150.0,151.3,154.9,157.2,158.4,160.7,162.5,163.6,165.8,168.7
Tétouan,Villa,PT,,,,,,,,,,,,,,,,,,,,,,,,100.0,104.2,110.2,106.6,101.5,97.8,99.5,108.7,109.3,107.9,111.1,109.2,113.2,114.7,116.5,117.5,118.5,119.0,119.4,119.9,119.5
